answer1,answer2,label
Seine,Epte,0.0
Norman mercenary,an Italo-Norman named Raoul,1.0
1018,1064,0.0
Isaac Komnenos,Isaac,1.0
dukes,the dukes,2.0
computational problems,A computational problem,2.0
the problem,a problem,2.0
concrete,abstract,0.0
instances,the instance,2.0
solution,the solution,2.0
decision problems,as decision problems,2.0
set of triples,triple,1.0
the instance,the size of the instance,1.0
mathematical models,branching,0.0
Complexity measures,complexity measures,2.0
Complexity measures,complexity measures,2.0
lower bounds,lower,1.0
upper bound,upper and lower bounds,1.0
the bound on the complexity of reductions,types of reductions,1.0
if every problem in C can be reduced to X,problem in C is harder than X,0.0
NP,P,1.0
graph isomorphism problem,the discrete logarithm problem,0.0
modern cryptographic systems,RSA algorithm,1.0
the general number field sieve,RSA,0.0
Los Angeles,Riverside,0.0
United States,Los Angeles,1.0
counties,five most populous in the state,0.0
15,Riverside,0.0
counties,Riverside,0.0
music,major record companies,0.0
southern,the desert,0.0
northern,the Tehachapi Mountains,0.0
the Missouri Compromise,the Compromise of 1850,1.0
Imperial,1999,0.0
regional tourism groups,AAA Auto Clubs,0.0
Inland Empire,Temecula and Murrieta,0.0
varied,natural ecosystem,0.0
1.3 million,San Diego,0.0
Los Angeles Area,major business,0.0
Riverside,Downtown Riverside,1.0
Hospitality Business/Financial Centre,Downtown Riverside,0.0
Port of San Diego,Port of Long Beach,0.0
NFL,Professional,0.0
Chivas USA,Chivas,2.0
Sky plc,British Sky Broadcasting Group plc,2.0
£1.3bn,£4.2bn,0.0
Freeview,ITV Digital,0.0
September 2007,March 2008,0.0
monthly fee,SkyHD box,0.0
January 2010,February 2011,0.0
Sky+,PVR,0.0
BSkyB,British Sky Broadcasting,2.0
DVB-S2,DVB-compliant MPEG-2,0.0
Thomson,STB,0.0
free-to-view,free-to-air,1.0
Ku band,9.75/10.600 GHz,0.0
no,Third-party channels,0.0
Sky Active,Open,0.0
Video On Demand,(HDTV),0.0
25m,36% of households,0.0
36%,2.4m customers,0.0
Sky TV bills,claimants,0.0
a man's presence,mother is wrongly claiming to be living alone,0.0
Liberal Party,Liberals,1.0
National Party,Nationals,1.0
The Greens,Australian Greens,1.0
Labor,Australian Labor Party,1.0
"270,000","121,200",0.0
warmest regions,semi-deserts,0.0
2009,7 February 2009,1.0
major car brands,car,1.0
October 2016,2013,0.0
government-owned,several private and public railway operators,0.0
sevenfold,"76,000 to 540,000",1.0
Premier,Premier of Victoria,1.0
$8.7 billion,24%,0.0
tourism,big,0.0
regional cities,Phillip Island,0.0
the southern and central parts of France,about one-eighth,0.0
some of the Huguenots were nobles trying to establish separate centers of power in southern France,political reasons,0.0
economic separation,worked as weavers,0.0
surnames,names,1.0
Prussia,Great Elector Frederick William,0.0
Parris Island,Southeastern U.S.,1.0
1562,1564,0.0
William the Silent,Pierre L'Oyseleur,0.0
Calvinist,Walloon,0.0
1530,1523,0.0
Corliss,patent valve,0.0
increase in the land available for cultivation,farm tractors,0.0
steam turbines,internal combustion engines,0.0
Reciprocating piston,steam turbines,0.0
turbine,electric motors,0.0
water pump,vacuum,0.0
cotton spinning,operations requiring constant speed,0.0
Advanced Steam,cogeneration processes,0.0
pollution,Advanced Steam movement,0.0
injector,condensers,0.0
stoking,Mechanical stoker,1.0
electrical generator,a turbo generator set with propulsion provided by electric motors,2.0
liquid,gaseous,0.0
oxides,oxide compounds,1.0
dioxygen,diatomic gas,1.0
high-altitude ozone layer,ozone,1.0
water,organic molecules,0.0
photosynthesis,living organisms,0.0
nitroaereus,spiritus nitroaereus,1.0
Joseph Priestley,Priestley,2.0
Philo of Byzantium,Philo,1.0
heat or a spark,oxygen,0.0
compounds of oxygen,"peroxides, chlorates, nitrates, perchlorates, and dichromates",1.0
storage vessels,fire,0.0
Earth's crustal rock,Earth's crust,2.0
Avogadro's law,the correct interpretation of water's composition,0.0
non-combustible,wood,0.0
Air,a substance like wood gains overall weight in burning,0.0
chemically,a covalent double bond,0.0
triplet oxygen,O,1.0
weight,that increase was the same as the weight of the air that rushed back in,0.0
ozone,Trioxygen,2.0
UV,ultraviolet,2.0
seawater,sea water,2.0
twice,50% more,0.0
world's oceans,"in the Earth's biosphere, air, sea and land",0.0
compressing and cooling,cascade method,0.0
climate,temperatures,0.0
oxygen-18,oxygen-16,0.0
lower global temperatures,lower temperatures,2.0
carbon cycle,plant health status,0.0
satellite platform,satellites,2.0
Liquid oxygen,liquid oxygen,2.0
magnetic field,magnetic,2.0
dangerous by-products,the immune system,0.0
major method,increasingly,0.0
oxygen and hydrogen,Oxygen gas,1.0
Chemical,chemical oxygen generators or oxygen candles,1.0
Hyperbaric (high-pressure) medicine,special oxygen chambers,1.0
Decompression sickness,"bubbles of inert gas, mostly nitrogen and helium, forming in their blood",2.0
oxygen supplementation,Oxygen therapy,2.0
organic compounds,solvents,0.0
Acute oxygen toxicity,seizures,0.0
