name1,name2,score
michael gallagher,kathleen de la peña mccook,0.00972632598131895
clarence erwin mcclung,michael storm,0.01649908907711506
rod diridon sr,daniel grabauskas,0.010152306407690048
john overington,mcneal tom,0.009669535793364048
sue de beer,gillian e metzger,0.009518478065729141
proctor robert n,fulbright harriet mayer,0.011074536480009556
catherine austin fitts,leisenring james j,0.009778851643204689
lee eliza buckminster,america olivo,0.009469034150242805
laura sydell,dana irene tiger,0.009715997613966465
ulises armand sanabria,oneill john j,0.009887078776955605
jill mcgill,couzens henry de clifford,0.00994773581624031
benjamin milam teekell,stephanie rothenberg,0.009576376527547836
george edmondson jr,walter rudin,0.011877418495714664
glen brunman,neith nevelson,0.01164126954972744
raina telgemeier,sexton eddie lee,0.009892093949019909
carpenter arthur,valorie burton,0.010694186203181744
alfred hayes,josh balk,0.010539672337472439
john franklin miller,jon entine,0.013668465428054333
givens william earl,andrew stevenson murr,0.009675340726971626
michael groveman,karlins marvin,0.01702224463224411
hunter tom,paul romer,0.01095674466341734
harry f noller,norman solomon,0.013033094815909863
roger welch,willi ninja,0.009429574944078922
basil wells,john baine,0.010036712512373924
bill kincaid,vonda ward,0.009982571005821228
gary schuster,armelia mcqueen,0.010780137032270432
peter w van arsdale,frances f alexander,0.01180515717715025
heather mcelhatton,pitchford kenneth,0.01149237435311079
ledeen simone,jeff siegel,0.011745458468794823
thomas r kane,david a moss,0.011720831505954266
tom ammiano,sandré swanson,0.010272693820297718
todd fischer,curt wittig,0.015603198669850826
joseph chetrit,glenn goerke,0.010689793154597282
lorrin andrews,albion merton marble,0.009331283159554005
nicholas alan watney,howard elmer wandrei,0.010694821365177631
jerry pittman,david strassman,0.029447704553604126
dawson hodgson,faysal ahmed,0.009712663479149342
virginia leith,lardner vanuxem,0.011377080343663692
gyo fujikawa,william t mccarthy,0.009585697203874588
schenk herbert,elizabeth s russell,0.011054819449782372
amos eaton,matthew savoca,0.0096901198849082
wilson rick,leonard blanchard chandler,0.011410095728933811
ronald r breaker,artie schroeck,0.012939764186739922
peter stone,rudolph de landas berghes,0.010592604987323284
hensel bruce,ivan misner,0.010653053410351276
mary wendy roberts,ralphie may,0.016854099929332733
robert koehler,terry kay,0.010290442034602165
erika rothenberg,maxwell holt,0.01056207437068224
ellen tarry,rose linwood h,0.010160781443119049
r b kitaj,ralph j block,0.021909130737185478
mort rosenblum,marc porat,0.014173924922943115
dr betty siegel,erenberg philip,0.010392162017524242
claude harmon jr,dixie dunbar,0.009662032127380371
francis joseph spellman,william thomas  will  metcalf,0.009635845199227333
stephanie sinclair,farzad dibachi,0.009609534405171871
david edgerton,joseph michael gyulay,0.00997182261198759
umrigar thrity,mansoor ijaz,0.01155863981693983
kay mciff,george s messersmith,0.009905749000608921
jackson harold,edgar cayce,0.013612471520900726
susan estrada,akins tony,0.01054198108613491
edward matthew dougherty,edward danforth hale,0.17479877173900604
joel selvin,larry elmore,0.010932991281151772
david a crocker,scott painter,0.0095824608579278
mary ellen weber,mack walker,0.011750640347599983
lisa irwin,kenneth s warren,0.010692182928323746
frances carter barron casteel,altman john,0.010150217451155186
james horrocks,laurel s braitman,0.010451100766658783
wilde winston,mitchell fred tom,0.010264749638736248
peter christopher,romaine patterson,0.012944772839546204
george calvin kern jr,toney g penna,0.018846958875656128
hallren clark,andrew rein,0.012555769644677639
cyrus pitt grosvenor,levenson thomas,0.011002269573509693
william bill barton bridgeman,harvey eisenberg,0.00978101696819067
lauren howe,mcmahon darrin,0.010117662139236927
henry brewer quinby,lori dennis,0.009422247298061848
vance d brand,francis dana,0.03144758194684982
polly trottenberg,bryan norcross,0.012232664972543716
nicole abiouness,michael l brown,0.014126868918538094
baker leslie m,bill lawrence,0.011196333914995193
christpoher d price,joshua angrist,0.010235879570245743
bennion spencer,john willard raught,0.01101288478821516
nick jordan,ewan clague,0.012685561552643776
loudon wainwright jr,nelle wilson reagan,0.009513634257018566
james abbe,sondra locke,0.009989774785935879
john noel dempsey,detective martin riggs,0.010429125279188156
dennis sanchez,kirk jarvinen,0.010361744090914726
herman bodson,terry j diehl,0.011628746055066586
grant drumheller,diana joyce hart-smith,0.010932557284832
clay shaw,felice joseph torza,0.010056483559310436
michael l  mike  galloway,muharrar aisha,0.00991525687277317
greg ray,margaret a kennard,0.012315887026488781
weisel al,carolyn kent,0.009863887913525105
miranda uhl,michael h cardozo,0.01119956560432911
steagall henry bascom,perlin gary,0.014124246314167976
koch jim,alexander demitri shimkin,0.010577852837741375
