answer1,answer2,label,sas,f1,berttrained
Seine,Epte,0.0,0.009858486242592336,0.0,0.4230276346206665
Norman mercenary,an Italo-Norman named Raoul,1.0,0.3497010469436645,0.0,0.4396500289440155
1018,1064,0.0,0.19260713458061213,0.0,0.47176605463027954
Isaac Komnenos,Isaac,1.0,0.7472150921821594,0.6666666666666666,0.5643108487129211
dukes,the dukes,2.0,0.8984519839286804,1.0,0.9666308164596558
computational problems,A computational problem,2.0,0.961114466190338,0.5,0.8684106469154358
the problem,a problem,2.0,0.9184228777885436,1.0,0.93613600730896
concrete,abstract,0.0,0.009605858474969864,0.0,0.5078219771385193
instances,the instance,2.0,0.7130443453788757,0.0,0.7895275950431824
solution,the solution,2.0,0.9432179927825928,1.0,0.9562445282936096
decision problems,as decision problems,2.0,0.9523800015449524,0.8,0.9039081931114197
set of triples,triple,1.0,0.90797221660614,0.0,0.8397619128227234
the instance,the size of the instance,1.0,0.5301474928855896,0.5,0.6792870163917542
mathematical models,branching,0.0,0.009110502898693085,0.0,0.03994707763195038
Complexity measures,complexity measures,2.0,0.9675989747047424,1.0,0.8646222949028015
Complexity measures,complexity measures,2.0,0.9675989747047424,1.0,0.8646222949028015
lower bounds,lower,1.0,0.8682719469070435,0.6666666666666666,0.712306022644043
upper bound,upper and lower bounds,1.0,0.6265222430229187,0.3333333333333333,0.6247726082801819
the bound on the complexity of reductions,types of reductions,1.0,0.5088039636611938,0.5,0.6953393816947937
if every problem in C can be reduced to X,problem in C is harder than X,0.0,0.4859102070331574,0.4705882352941176,0.7405027151107788
NP,P,1.0,0.16645671427249908,0.0,0.6375848650932312
graph isomorphism problem,the discrete logarithm problem,0.0,0.10016734153032304,0.3333333333333333,0.3528299629688263
modern cryptographic systems,RSA algorithm,1.0,0.04716365411877632,0.0,0.3657780885696411
the general number field sieve,RSA,0.0,0.009649387560784815,0.0,0.08312167972326279
Los Angeles,Riverside,0.0,0.07743190973997116,0.0,0.2442779839038849
United States,Los Angeles,1.0,0.016495104879140854,0.0,0.3406802713871002
