,answer1,answer2,label,sas,bert_score
202,Die beiden Staaten pflegen deshalb auch derzeit keine diplomatischen Beziehungen und befinden sich heute noch im Kriegszustand.,belastet,1.0,0.0884072557091713,0.27671748399734497
166,Adoleszenz,Pubertät,1.0,0.6723754405975342,0.3112901747226715
57,Erich Wolfgang Skwara,Raoul Schrott,0.0,0.13871143758296967,0.3325916826725006
50,Nintendo Advanced Video System,Famicom,0.0,0.17123231291770935,0.3347146809101105
152,antike Kultur,Cicero sowie Quintilian,0.0,0.16581158339977264,0.33554667234420776
101,Point after Touchdown,Field Goal,1.0,0.4012407660484314,0.33899909257888794
7,bis etwa 1 MHz,niedriger,0.0,0.21865686774253845,0.34571096301078796
2,'Anorthotiko Komma Ergazomenou Laou'',Fortschrittspartei des werktätigen Volkes,2.0,0.04175456985831261,0.3491891324520111
11,das lateinische Alphabet in Groß- und Kleinschreibung,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,0.054967910051345825,0.34941697120666504
158,Judengemeinden,Aschkenasim,1.0,0.26556581258773804,0.3499373197555542
118,Hayek erweiterte seine Sozialismuskritik um eine Theorie der „kulturellen Evolution“ und des menschlichen Zusammenlebens in arbeitsteiligen Gesellschaften,wesentlich beeinflusst,,0.09484737366437912,0.35087770223617554
168,Khoren Gevor,Europameister,0.0,0.04447286203503609,0.35315436124801636
102,ASPTT Strasbourg,Racing Straßburg,0.0,0.3981735110282898,0.353869765996933
220,Guinea,bei Bafoulabé,0.0,0.2086576372385025,0.35465699434280396
39,Thayendanegea,Joseph Brant,2.0,0.027941860258579254,0.3610248267650604
167,Tigran Petrosjan,Armenier,1.0,0.15048694610595703,0.3657654821872711
109,Ramon Llull,Grafen von Barcelona und des nachfolgenden katalanisch-aragonesischen Staatenbunds,0.0,0.18422120809555054,0.3712904751300812
179,ab 1966 sowjetische Truppenstationierungen,Beobachterstatus,0.0,0.14128153026103973,0.3726685643196106
43,Die Partei der Demokratischen Revolution,Movimiento Progresista,1.0,0.24295726418495178,0.374481737613678
200,Aschraf Marwan,Der Ehemann von Nassers Tochter Mona,2.0,0.17170779407024384,0.3753633499145508
8,Nährgebiet,Akkumulationsgebiet,2.0,0.265578955411911,0.3791106939315796
36,vis viva,lebendigen Kräfte,2.0,0.23740699887275696,0.3818831443786621
10,Funktion eines Prädikativums,fast nur im gehobenen Stil verwendet,0.0,0.09990379959344864,0.38327664136886597
0,rotiert,"schwingt bei vertikaler Polarisation der elektrische Feldvektor zwischen oben und unten, bei horizontaler Polarisation zwischen links und rechts",0.0,0.22324325144290924,0.38409262895584106
131,Ordre de la Libération,"„Fluctuat nec mergitur“ (etwa: „Sie verändert sich, geht aber nicht unter“ oder „Sie schwankt, aber sie geht nicht unter“)",0.0,0.06358230859041214,0.38799890875816345
16,Sheffield United,Brian Deane,0.0,0.07087356597185135,0.39010849595069885
51,"Bei Allergien, auch als Überempfindlichkeitsreaktion bezeichnet",so genannten Autoimmunerkrankungen,1.0,0.323746919631958,0.39038440585136414
96,Hiragana,onna-de,0.0,0.12398548424243927,0.3929043710231781
34,für höhere Organismen nur relativ schwach giftig,"So kann ein Mensch täglich 0,04 Gramm Kupfer zu sich nehmen, ohne Schaden an seiner Gesundheit zu erleiden",1.0,0.18026375770568848,0.39291658997535706
193,problemlos,"Es existiert keine gesetzliche Bestimmung, die das einschränkt",1.0,0.16588473320007324,0.3930407166481018
29,"Indianerstämmen der Muskogee, der Seminolen, der Cherokee, der Choctaw und der Chickasaw zu (den „Fünf zivilisierten Nationen“), die aus den östlichen Staaten vertrieben wurden. Etwa 50.000 Menschen wurden nach Oklahoma getrieben, wo sie auf bereits ansässige andere Indianerstämme trafen.",Umsiedlung,1.0,0.31895843148231506,0.3931271731853485
