,answer1,answer2,label,sas
39,Thayendanegea,Joseph Brant,2.0,0.027941860258579254
41,der Verurteilte wird kurz nach dem Prozess bei einem Fluchtversuch erschossen,Am Ende des Romans begleitet Scout ihren Nachbarn Boo wieder zurück in sein Haus,0.0,0.028582675382494926
2,'Anorthotiko Komma Ergazomenou Laou'',Fortschrittspartei des werktätigen Volkes,2.0,0.04175456985831261
168,Khoren Gevor,Europameister,0.0,0.04447286203503609
5,"denn es ist eine beliebte Praxis, verteilt auf die dreißig Ramadan-Nächte, eine Chatma, also eine Komplettlesung des Korans, vorzunehmen",Sie finden vor allem in der Liturgie Verwendung und dienen als Maßeinheiten zur Festlegung von Gebetspensen,0.0,0.04587511345744133
93,16. Dezember 2015,1982,0.0,0.047075193375349045
11,das lateinische Alphabet in Groß- und Kleinschreibung,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,0.054967910051345825
177,18. September 1988,Bis 2010,0.0,0.059348974376916885
131,Ordre de la Libération,"„Fluctuat nec mergitur“ (etwa: „Sie verändert sich, geht aber nicht unter“ oder „Sie schwankt, aber sie geht nicht unter“)",0.0,0.06358230859041214
73,einer ca. 200.000 Jahre alten Fundstelle aus der Zeit des Neandertalers an einem ehemaligen Seeufer bei Frankleben in Sachsen-Anhalt,Hinweis auf das Gerben von Tierhäuten,0.0,0.06453830748796463
46,Generell bilden Regelungen zum rechtlichen Status des Wildes und zum Inhaber des subjektiven Jagdrechts,Frankfurter Reichsverfassung vom 28. März 1849,0.0,0.06489165872335434
172,Art Zeitungsverlag,in den Comics über die Marvel-Superhelden,0.0,0.06500601768493652
27,„Last Order“,eine Glocke,0.0,0.06798303872346878
16,Sheffield United,Brian Deane,0.0,0.07087356597185135
217,2009,am 17. Juni 2005,0.0,0.0761684849858284
210,"die Spanier, Savoyer und Österreicher",Giuseppe Garibaldi,0.0,0.0794304758310318
183,elektrischen Stuhls,Erhängen,0.0,0.08838292956352234
202,Die beiden Staaten pflegen deshalb auch derzeit keine diplomatischen Beziehungen und befinden sich heute noch im Kriegszustand.,belastet,1.0,0.0884072557091713
49,die NATO,syrischen Geheimdienst,0.0,0.08953892439603806
118,Hayek erweiterte seine Sozialismuskritik um eine Theorie der „kulturellen Evolution“ und des menschlichen Zusammenlebens in arbeitsteiligen Gesellschaften,wesentlich beeinflusst,,0.09484737366437912
60,"die Hauptgruppen sind: die Einsicht in die Lehre, ihre ethischen Grundlagen und die Schwerpunkte des geistigen Trainings (Meditation/Achtsamkeit)",dreigeteilt,1.0,0.09509734064340591
10,Funktion eines Prädikativums,fast nur im gehobenen Stil verwendet,0.0,0.09990379959344864
64,51. Bundesstaat,Democrats Abroad,0.0,0.10022647678852081
37,Behandlung der elastischen Deformation,Lösung der Bewegungsgleichungen vor allem in der Himmelsmechanik,0.0,0.1003224328160286
142,34 %,"9,2 Mtoe",0.0,0.10238229483366013
18,Baktrien,Afghanistan und Pakistan,0.0,0.10951995104551315
103,"Jung-, Spät- und Endneolithikum",Beginn der Metallverarbeitung im Schmelzverfahren,0.0,0.11367396265268326
105,den Nobelpreis für Physiologie oder Medizin,die Gewinnung monoklonaler Antikörper,0.0,0.11385410279035568
4,Ramadan-Monat,sind üblicherweise an den Rändern der Koranexemplare markiert,0.0,0.12379718571901321
96,Hiragana,onna-de,0.0,0.12398548424243927
104,Der kanadische Premierminister,Brian Mulroney,1.0,0.12428151071071625
3,aus dem englischen,"von  ‚Geißel‘, ‚Seuche‘ und lat.  ‚töten‘",0.0,0.1279093623161316
144,eher seltenes,"In der Periode von 1999 bis 2002 hagelte es im Emmental, im Laufental und im Toggenburg am im Jahresdurchschnitt bis zu 60 Minuten, in den anderen Regionen waren es unter 30 Minuten",0.0,0.1279200315475464
165,entsprechende Vereinbarung zwischen Ausbildungsbetrieb und Auszubildendem sowie die Zustimmung der zuständigen Kammer,berechtigtem Interesse,0.0,0.13649824261665344
160,Gouverneure,Der Präsident,0.0,0.1366083025932312
57,Erich Wolfgang Skwara,Raoul Schrott,0.0,0.13871143758296967
179,ab 1966 sowjetische Truppenstationierungen,Beobachterstatus,0.0,0.14128153026103973
194,des zweiten buddhistischen Konzils,auf die Mahasanghika („große Gemeinde“),0.0,0.14207294583320618
53,das Fehlen des vokalisierten «L»,die Übernahme einiger Wörter aus dem früheren Unterschichtsquartier Matte,0.0,0.14214427769184113
129,neun Jahren,1986–1995,1.0,0.14310476183891296
106,Graphitrohr-AAS,Polarographie,0.0,0.1431821584701538
146,Purismus,"Suprematismus, Konstruktivismus",0.0,0.14551851153373718
83,muslimische Gemeinden,"Kimbanguisten, sowie neuapostolische Christen",0.0,0.1458771675825119
167,Tigran Petrosjan,Armenier,1.0,0.15048694610595703
137,"Zusammenschluss des City and Guilds College, der Royal School of Mines sowie des Royal College of Science.",1907,0.0,0.1530774086713791
174,Seestreitmacht der Vereinigten Staaten,Prieble begann eine Blockade der Häfen der Babareskenstaaten. Am 14. Juli 1804 griff er Tripolis direkt an.,0.0,0.15630993247032166
152,antike Kultur,Cicero sowie Quintilian,0.0,0.16581158339977264
193,problemlos,"Es existiert keine gesetzliche Bestimmung, die das einschränkt",1.0,0.16588473320007324
56,bog,"Svarog (der ''Schöpfer''), als Urheber des Donners heißt er Perun (balt. ''Perkunas'')",0.0,0.17100542783737183
50,Nintendo Advanced Video System,Famicom,0.0,0.17123231291770935
200,Aschraf Marwan,Der Ehemann von Nassers Tochter Mona,2.0,0.17170779407024384
153,"USA weitere in Japan, Korea, Europa sowie auf Guam und Samoa",weltweit,1.0,0.17545585334300995
117,18 Kilometer,"201,7 Kilometern",0.0,0.17626510560512543
34,für höhere Organismen nur relativ schwach giftig,"So kann ein Mensch täglich 0,04 Gramm Kupfer zu sich nehmen, ohne Schaden an seiner Gesundheit zu erleiden",1.0,0.18026375770568848
109,Ramon Llull,Grafen von Barcelona und des nachfolgenden katalanisch-aragonesischen Staatenbunds,0.0,0.18422120809555054
119,Hindi,Pahari,0.0,0.1887841820716858
219,in Oberflächenwassern und in Lebewesen,in der oberen Erdatmosphäre,0.0,0.19020110368728638
221,Indus-Kultur,die vedische Kultur,0.0,0.1916821300983429
87,durch das Metrum,die Schwingung selbst und jede denkbare praktische Involvierung,0.0,0.19314880669116974
116,im Landesinneren,Südosten,0.0,0.19403962790966034
125,Die aktuelle tatsächliche Netzfrequenz ist unter anderem von der aktuellen Nachfrage und dem aktuellen Angebot an elektrischer Energie abhängig und daher schwankend.,"99,5 % eines Jahres und 15,67 Hertz bis 17,33 Hertz während der restlichen 0,5 % eines Jahres",0.0,0.19417056441307068
147,in vielen Bereichen des täglichen Lebens,"Bauindustrie, Ernährungs- und Getränkeindustrie, Kraftfahrzeugindustrie, Elektro(nik)industrie, Haushalt und Gastronomie, Medizin, Forschung und Wissenschaft, Chemie, Pharmazie, Kosmetik, Möbelindustrie und Innenausbau, Kunststoff- und Textilindustrie",1.0,0.19771532714366913
180,1.021.000 Mann,"1,4 Millionen",0.0,0.19870854914188385
