,answer1,answer2,label,bi_encoder,f1
2367,"January 17, 2006",approximately 2. 97 billion years ago,0.0,-0.15456770360469818,0.28571428571428575
1368,Sanaa Lathan,reagan gomez - preston reagan amyre gomez - preston,0.0,-0.14512258768081665,0.28571428571428575
2116,"Gloomhaven, Cephalofair Games",The Stanley Parable,0.0,-0.13269397616386414,0.28571428571428575
2082,Thomas Stanley Holland,Tobey Maguire,1.0,-0.13208070397377014,0.28571428571428575
1872,Operation Eagle Claw,Tehran,0.0,-0.1284123659133911,0.28571428571428575
3480,Heart shaped peepal leaves,in the early 14th century,0.0,-0.12047933787107468,0.28571428571428575
2157,"""Somber News""","February 23, 2013",1.0,-0.11763836443424225,0.28571428571428575
3479,Heart shaped peepal leaves,the early 14th century,0.0,-0.11250044405460358,0.28571428571428575
1458,Klondike Kat,The J.M. Smucker Company,0.0,-0.11115708947181702,0.28571428571428575
3570,graphite or metal,AC,0.0,-0.11008381843566895,0.28571428571428575
1695,10,"over 3,300",0.0,-0.10872097313404083,0.28571428571428575
1472,Jillian Mele,Fox News Channel,0.0,-0.10859952121973038,0.28571428571428575
204,"Somebody, presumably Thespis",John Mitchell,0.0,-0.10461633652448654,0.28571428571428575
2254,mutations in the LRP2 gene,an Irish village named Kilshannon,0.0,-0.09575359523296356,0.28571428571428575
707,"""Counterfeit""",shiganshina,0.0,-0.08958061784505844,0.28571428571428575
3272,through the maternal line,not clearly known,0.0,-0.08699893206357956,0.28571428571428575
1247,"Templeton ""Face"" Peck",Special Forces,0.0,-0.08661291748285294,0.28571428571428575
1546,John Rzeznik,goo goo dolls,1.0,-0.08580518513917923,0.28571428571428575
2155,"""Somber News""","March 23, 2017",0.0,-0.08559182286262512,0.28571428571428575
2261,mutations in the LRP2 gene,the center of the forehead,1.0,-0.08239594101905823,0.28571428571428575
2868,Jace Everett,Machine Gun Kelly,0.0,-0.08150852471590042,0.28571428571428575
1647,Unhappily Ever After,route 66,0.0,-0.06671954691410065,0.28571428571428575
1074,the G.I. Generation,Tom Brokaw,0.0,-0.06593138724565506,0.28571428571428575
1805,ancient Greek and Roman theatre,uncertain,0.0,-0.06540414690971375,0.28571428571428575
3345,Catholic repression,Come On Eileen,0.0,-0.06480011343955994,0.28571428571428575
2259,mutations in the LRP2 gene,Kilshannon,0.0,-0.06453366577625275,0.28571428571428575
1150,Ptolemy,at the end of a number,0.0,-0.0641084536910057,0.28571428571428575
239,Bachman–Turner Overdrive,the blues magoos,0.0,-0.0640331506729126,0.28571428571428575
2361,Sanjay Basu,hiten tejwani,0.0,-0.059813663363456726,0.28571428571428575
1454,Klondike Kat,Rear Admiral John Godfrey,0.0,-0.05282456800341606,0.28571428571428575
1218,using rotating calipers,1/e2,0.0,-0.052056893706321716,0.28571428571428575
2198,Marburg marburgvirus,DED,0.0,-0.05195632949471474,0.28571428571428575
861,the Negro Act of 1740,the Return of the Heracleidae,0.0,-0.051286730915308,0.28571428571428575
200,Boston Red Sox,los angeles dodgers,0.0,-0.05120067670941353,0.28571428571428575
349,Max,Ziggy,0.0,-0.050428733229637146,0.28571428571428575
1290,main antagonist of the story,Camazotz,0.0,-0.04919367656111717,0.28571428571428575
1945,the President of India,The Passport Seva,0.0,-0.048757705837488174,0.28571428571428575
328,the Portuguese,henry the navigator,0.0,-0.04843340069055557,0.28571428571428575
1174,The Gap Band,"Sharon, Lois & Bram",0.0,-0.04798115789890289,0.28571428571428575
155,controlling interest,$ 32. 5 million,0.0,-0.04761556535959244,0.28571428571428575
147,1814,rabindranath tagore,1.0,-0.04712345078587532,0.28571428571428575
2153,"""Somber News""",in part ii,0.0,-0.04628204181790352,0.28571428571428575
1126,3,fifty - six foot,0.0,-0.043965086340904236,0.28571428571428575
1471,Jillian Mele,Fox News Live,0.0,-0.04232915863394737,0.28571428571428575
1154,Ptolemy,By 1770 BC,0.0,-0.042281266301870346,0.28571428571428575
