,answer1,answer2,label,bi_encoder
2367,"January 17, 2006",approximately 2. 97 billion years ago,0.0,-0.15456770360469818
1368,Sanaa Lathan,reagan gomez - preston reagan amyre gomez - preston,0.0,-0.14512258768081665
2116,"Gloomhaven, Cephalofair Games",The Stanley Parable,0.0,-0.13269397616386414
2082,Thomas Stanley Holland,Tobey Maguire,1.0,-0.13208070397377014
1872,Operation Eagle Claw,Tehran,0.0,-0.1284123659133911
3480,Heart shaped peepal leaves,in the early 14th century,0.0,-0.12047933787107468
2157,"""Somber News""","February 23, 2013",1.0,-0.11763836443424225
3479,Heart shaped peepal leaves,the early 14th century,0.0,-0.11250044405460358
1458,Klondike Kat,The J.M. Smucker Company,0.0,-0.11115708947181702
3570,graphite or metal,AC,0.0,-0.11008381843566895
1695,10,"over 3,300",0.0,-0.10872097313404083
1472,Jillian Mele,Fox News Channel,0.0,-0.10859952121973038
204,"Somebody, presumably Thespis",John Mitchell,0.0,-0.10461633652448654
2254,mutations in the LRP2 gene,an Irish village named Kilshannon,0.0,-0.09575359523296356
707,"""Counterfeit""",shiganshina,0.0,-0.08958061784505844
3272,through the maternal line,not clearly known,0.0,-0.08699893206357956
1247,"Templeton ""Face"" Peck",Special Forces,0.0,-0.08661291748285294
1546,John Rzeznik,goo goo dolls,1.0,-0.08580518513917923
2155,"""Somber News""","March 23, 2017",0.0,-0.08559182286262512
2261,mutations in the LRP2 gene,the center of the forehead,1.0,-0.08239594101905823
2868,Jace Everett,Machine Gun Kelly,0.0,-0.08150852471590042
1647,Unhappily Ever After,route 66,0.0,-0.06671954691410065
1074,the G.I. Generation,Tom Brokaw,0.0,-0.06593138724565506
1805,ancient Greek and Roman theatre,uncertain,0.0,-0.06540414690971375
3345,Catholic repression,Come On Eileen,0.0,-0.06480011343955994
2259,mutations in the LRP2 gene,Kilshannon,0.0,-0.06453366577625275
1150,Ptolemy,at the end of a number,0.0,-0.0641084536910057
239,Bachman–Turner Overdrive,the blues magoos,0.0,-0.0640331506729126
2361,Sanjay Basu,hiten tejwani,0.0,-0.059813663363456726
1454,Klondike Kat,Rear Admiral John Godfrey,0.0,-0.05282456800341606
1218,using rotating calipers,1/e2,0.0,-0.052056893706321716
2198,Marburg marburgvirus,DED,0.0,-0.05195632949471474
861,the Negro Act of 1740,the Return of the Heracleidae,0.0,-0.051286730915308
200,Boston Red Sox,los angeles dodgers,0.0,-0.05120067670941353
349,Max,Ziggy,0.0,-0.050428733229637146
1290,main antagonist of the story,Camazotz,0.0,-0.04919367656111717
1945,the President of India,The Passport Seva,0.0,-0.048757705837488174
328,the Portuguese,henry the navigator,0.0,-0.04843340069055557
1174,The Gap Band,"Sharon, Lois & Bram",0.0,-0.04798115789890289
155,controlling interest,$ 32. 5 million,0.0,-0.04761556535959244
147,1814,rabindranath tagore,1.0,-0.04712345078587532
2153,"""Somber News""",in part ii,0.0,-0.04628204181790352
1126,3,fifty - six foot,0.0,-0.043965086340904236
1471,Jillian Mele,Fox News Live,0.0,-0.04232915863394737
1154,Ptolemy,By 1770 BC,0.0,-0.042281266301870346
1227,"Ramstein AB, in Germany",Fort Hood,1.0,-0.04132905602455139
1678,Claudia Grace Wells,Michael J. Fox,0.0,-0.03996346518397331
695,Pat Sajak,Chuck Woolery,1.0,-0.03895489498972893
2184,actual testing of each processor,CU,0.0,-0.03834174573421478
898,Raul Bova,Richard Madden as Cosimo de' Medici,0.0,-0.038048155605793
2813,Has a material bilateral mistake,delay,0.0,-0.03760501369833946
3519,"7,236",Mariana Trench,0.0,-0.037086643278598785
2683,John Langstaff,Mickey Thomas,0.0,-0.036084629595279694
