,answer1,answer2,label,f1,sas
1001,"""The Two Students""",ultimate ninja storm 2,0.0,0.0,0.0005192593671381474
2752,Surekha Yadav,Sally Kristen Ride,0.0,0.0,0.0005592163652181625
1601,Sebastian Vettel,lewis hamilton,2.0,0.0,0.0005602262099273503
3163,Floyd Mayweather Jr.,cristiano ronaldo,1.0,0.0,0.0005806703120470047
3549,Priyanka Chopra,Vin Diesel,0.0,0.0,0.0006117264274507761
1144,Kareem Abdul-Jabbar,wilt chamberlain,0.0,0.0,0.000633363495580852
1083,Garfield Sobers,yuvraj singh,0.0,0.0,0.0006353287026286125
3322,Bhairon Singh Shekhawat,George Clinton,1.0,0.0,0.0006383713334798813
3554,Priyanka Chopra,Cristiano Ronaldo,0.0,0.0,0.0006436905241571367
902,Mentuhotep II,the Islamic prophet Muhammad,0.0,0.0,0.0006517211440950632
307,the company Faro Automated Solutions,Isaac Asimov,0.0,0.0,0.0006722519174218178
880,Erik Erikson,the Marquis de Condorcet,0.0,0.0,0.000707819708622992
3320,Bhairon Singh Shekhawat,gay clark jennings,0.0,0.0,0.0007136738859117031
606,"Vancouver, British Columbia",Netflix,0.0,0.0,0.0008318729232996702
1157,Elizabeth II,Hassanal Bolkiah,0.0,0.0,0.0008480896940454841
874,The Battle of the Labyrinth,the last olympian,1.0,0.0,0.0008500386611558497
1846,"Central Java, Indonesia",Jerusalem,0.0,0.0,0.0009038992575369775
2000,Jakob Fugger,john d. rockefeller,1.0,0.0,0.0009403540752828121
1138,Byju Raveendran,john b. watson,0.0,0.0,0.0010410422692075372
2644,Brazil,La Brea Tar Pits in Los Angeles,2.0,0.0,0.0010456114541739225
2409,Royal Automobile Club,the National Basketball Association,0.0,0.0,0.0010679323459044099
1199,Universal Studios Hollywood,"atlanta, georgia",1.0,0.0,0.0010848938254639506
3339,Mike Dunleavy,Sarah Palin,1.0,0.0,0.001141596701927483
2193,Brontis Jodorowsky,johnny depp,0.0,0.0,0.00117867486551404
2408,Royal Automobile Club,ra's al ghul,0.0,0.0,0.0011808291310444474
2991,Ogor Okuweh,Nancy Pelosi,0.0,0.0,0.0012071029050275683
2269,"""support our troops""",Epilepsy awareness,0.0,0.0,0.0012092136312276125
2749,Surekha Yadav,violet constance jessop,0.0,0.0,0.0012100120075047016
3321,Bhairon Singh Shekhawat,john c. calhoun,1.0,0.0,0.0012180912308394909
1085,Garfield Sobers,Ravi Shastri,0.0,0.0,0.0012450579088181257
1307,Miguel DÃ­az-Canel,Donald Trump,0.0,0.0,0.0013690125197172165
917,"Seneca Falls, New York",Tartu,0.0,0.0,0.0013950604479759932
3113,Drug Enforcement Administration,Catholic Epistles,0.0,0.0,0.001404574140906334
222,a gender-neutral honorific,Sh\u00f4rot,0.0,0.0,0.001411547651514411
1158,Elizabeth II,Teodoro Obiang,0.0,0.0,0.0014575384557247162
2866,Johann Wolfgang von Goethe,Devil,0.0,0.0,0.0014824944082647562
691,Miguel Hidalgo y Costilla,Wat Tyler,0.0,0.0,0.001575944246724248
2254,mutations in the LRP2 gene,an Irish village named Kilshannon,0.0,0.0,0.0015976233407855034
187,Marlow in Buckinghamshire,"Vancouver, British Columbia",0.0,0.0,0.0016624887939542532
1281,"March 2, 1836",2003,0.0,0.0,0.001798909273929894
2491,parts of southern California,Tokyo,1.0,0.0,0.002016822574660182
2750,Surekha Yadav,Karen Harrison,0.0,0.0,0.0021488654892891645
1459,Klondike Kat,Savoir-Faire,0.0,0.0,0.0022243729326874018
1807,ancient Greek and Roman theatre,China,0.0,0.0,0.002319853752851486
1834,Vince Gill,Mormon Tabernacle Choir,0.0,0.0,0.002457474125549197
1156,Elizabeth II,donald trump,0.0,0.0,0.0027019125409424305
3553,Priyanka Chopra,selena gomez,0.0,0.0,0.0027475475799292326
3230,massive hemorrhage,LGIB,0.0,0.0,0.002821474801748991
3459,25 August 2002,18 November 2018,1.0,0.0,0.0028722973074764013
772,Dalila Bela,Amybeth McNulty,0.0,0.0,0.0030333269387483597
1139,Byju Raveendran,Warren Robinett,0.0,0.0,0.0030876188538968563
443,María Conchita Alonso,Lesley Ann Warren,0.0,0.0,0.0032808741088956594
692,Miguel Hidalgo y Costilla,Ong Keo,0.0,0.0,0.003434134414419532
435,The Monuments Men,"\""Saving Private Ryan\""",0.0,0.0,0.003486865432932973
1836,Vince Gill,ola belle reed,1.0,0.0,0.003560687880963087
2839,Portuguese explorer Diogo Cão,Lewis Grant,0.0,0.0,0.003931002225726843
1593,Poppy Drayton,Loreto Peralta,0.0,0.0,0.003974106162786484
2487,parts of southern California,Brazil,1.0,0.0,0.004409248940646648
721,Kailash Satyarthi,mother teresa,0.0,0.0,0.004726381506770849
2309,Kristian Kordula,gavin houston,0.0,0.0,0.004982581827789545
2406,Royal Automobile Club,Rutgers Athletic Center,0.0,0.0,0.005137227009981871
650,powerful local supporter,Lord of the Manor,1.0,0.0,0.005178769119083881
2837,Portuguese explorer Diogo Cão,Henry Morton Stanley,0.0,0.0,0.005226121284067631
2004,Alison Pill,uma thurman,0.0,0.0,0.005401353817433119
1308,Miguel DÃ­az-Canel,Barack Obama,0.0,0.0,0.0058083669282495975
1572,thirteenth,Yom Kippur,0.0,0.0,0.006523896008729935
3031,Sir Cyril Radcliffe,shimla agreement,0.0,0.0,0.006601300556212664
3144,"Jackson ""Jack"" Maine",Bradley Cooper,1.0,0.0,0.006957622244954109
3377,Nicolas-Joseph Cugnot,gottlieb daimler,0.0,0.0,0.007133542560040951
1216,Mariska Magdolna Hargitay,brooke shields,1.0,0.0,0.007169716525822878
2998,China,Province of Massachusetts Bay,0.0,0.0,0.007212829310446978
1706,Jessica,trevante rhodes,0.0,0.0,0.007457847706973553
688,Miguel Hidalgo y Costilla,Dutty Boukman,0.0,0.0,0.0074725947342813015
784,UCF Knights,notre dame,1.0,0.0,0.007678373251110315
3323,Bhairon Singh Shekhawat,Walter Mondale,1.0,0.0,0.007700134534388781
3617,Saffron,stigmas and styles,0.0,0.0,0.008361857384443283
2190,Brontis Jodorowsky,Jude Law,0.0,0.0,0.008753460831940174
4,Alexandria Ocasio-Cortez,Kevin McCarthy,0.0,0.0,0.008960513398051262
3060,Naomi Osaka,ashleigh barty,0.0,0.0,0.0092440415173769
1419,George Ezra,Ricochet,0.0,0.0,0.009272979572415352
1659,Georgia Hall,Naomi Osaka,0.0,0.0,0.009319521486759186
2695,Ernst Haeckel,Eugenius Warming,0.0,0.0,0.009424165822565556
3622,Saffron,stigmas,0.0,0.0,0.010362736880779266
1768,Raúl Esparza,jesse l. martin,0.0,0.0,0.010377050377428532
2616,Eric Swaffer,Vichai Srivaddhanaprabha,0.0,0.0,0.010534562170505524
1904,Philip Parris Lynott,Raul Malo,0.0,0.0,0.010600623674690723
1558,Andrée Bernard,Jennifer Lawrence,0.0,0.0,0.010721882805228233
748,Drug Enforcement,vowels,0.0,0.0,0.010775892995297909
2302,Janet-Laine Green,alyssa milano,0.0,0.0,0.010808492079377174
687,Miguel Hidalgo y Costilla,John Brown Bell,0.0,0.0,0.010846222750842571
3648,Eisha Singh,Zara,0.0,0.0,0.01118592917919159
1848,land plants,Peptidoglycan,0.0,0.0,0.011210004799067974
1741,"Los Angeles, California",diary of Samuel Pepys,0.0,0.0,0.012174471281468868
690,Miguel Hidalgo y Costilla,andrew mcnair,0.0,0.0,0.01254795677959919
1999,Jakob Fugger,Andrew Carnegie,0.0,0.0,0.012706068344414234
3527,Reeve Jefferson Carney,max martin,0.0,0.0,0.013559010811150074
580,"""Formality""",season 2,0.0,0.0,0.013874917291104794
1205,Molly Qerim Rose,Erik Kuselias,0.0,0.0,0.013973727822303772
3412,ï¿½,white question mark,0.0,0.0,0.014370166696608067
1925,Morarji Desai,Robert Walpole,0.0,0.0,0.014371897093951702
878,Erik Erikson,g. stanley hall,0.0,0.0,0.014382674358785152
2699,McDonald v. Smith,redress of grievances,0.0,0.0,0.014995845966041088
3585,622 AD/CE,the Hijra,0.0,0.0,0.015056277625262737
2513,Glenn Close,frances mcdormand,1.0,0.0,0.015086587518453598
915,Nicole Scherzinger,Peter Dickson,0.0,0.0,0.016059108078479767
218,Martha Graham,Dai Ailian,1.0,0.0,0.01623213104903698
689,Miguel Hidalgo y Costilla,John Brown,0.0,0.0,0.01657651923596859
408,Boston Celtics,los angeles lakers,0.0,0.0,0.016843382269144058
2160,"""Formality""",Teen Wolf,0.0,0.0,0.01704736240208149
576,"""Formality""",Teen Wolf,0.0,0.0,0.01704736240208149
442,María Conchita Alonso,melinda page hamilton,0.0,0.0,0.017285168170928955
2194,Brontis Jodorowsky,Dean Fujioka,0.0,0.0,0.017437566071748734
1546,John Rzeznik,goo goo dolls,1.0,0.0,0.017626719549298286
2452,Jason Bateman,victor french,0.0,0.0,0.018128810450434685
1561,Andrée Bernard,tamzin outhwaite,0.0,0.0,0.018316514790058136
2306,Kristian Kordula,John Richard Schneider,0.0,0.0,0.018441015854477882
3303,Heather O'Rourke,dominique ellen dunne,0.0,0.0,0.01846172846853733
1753,Norma Koch,best costume design,0.0,0.0,0.018478496000170708
2554,Ken Block,Cathy Connor,0.0,0.0,0.01861131750047207
2038,Phillip Danault,Antoine Griezmann,0.0,0.0,0.019340472295880318
2161,"""Formality""",season 3 episode 13,0.0,0.0,0.019632473587989807
1466,Alessia Cara,Nickelback,0.0,0.0,0.019860783591866493
1545,John Rzeznik,Carlotta Campion,0.0,0.0,0.019939938560128212
1101,"""Highway of Tears""","Oh Captain, My Captain",0.0,0.0,0.020363692194223404
914,Nicole Scherzinger,little mix,0.0,0.0,0.020421316847205162
1841,Emmanuel Piñol,Sonny Perdue,0.0,0.0,0.02046782337129116
2829,"Lisbon, Portugal",Los Angeles,0.0,0.0,0.020800642669200897
336,Frank Sinatra,the Kringle family,0.0,0.0,0.02082289196550846
2642,Brazil,Cueva del Medio,1.0,0.0,0.020830271765589714
2999,China,johan palmstruch,0.0,0.0,0.02170616015791893
1160,Elizabeth II,Franklin D. Roosevelt,0.0,0.0,0.021850604563951492
873,The Battle of the Labyrinth,White Cat,0.0,0.0,0.021869277581572533
2641,Brazil,Cascade Caverns,0.0,0.0,0.021886160597205162
3478,Heart shaped peepal leaves,europe,0.0,0.0,0.022189518436789513
2410,Royal Automobile Club,Resource Access Control Facility,0.0,0.0,0.02234237641096115
3509,lack of protein and calories,Matilda Wormwood,0.0,0.0,0.02239837683737278
1415,Stéphanie Szostak,lizzy greene,0.0,0.0,0.02264098823070526
2830,"Lisbon, Portugal",New York City,0.0,0.0,0.023020030930638313
2524,Gloria Sherry,Polly Cutter,0.0,0.0,0.023111915215849876
1626,Jury duty,Jus soli,0.0,0.0,0.023290453478693962
920,Ayesha,Pom Klementieff,0.0,0.0,0.02331804297864437
2460,coati,Fred Newman,0.0,0.0,0.023431895300745964
575,"""Formality""",season 8,0.0,0.0,0.02345414273440838
3458,25 August 2002,28 January 2018,0.0,0.0,0.02346133068203926
1449,Max Lloyd-Jones,Erin Krakow,0.0,0.0,0.02350430190563202
2191,Brontis Jodorowsky,Claudia Kim,0.0,0.0,0.023539623245596886
2392,1857,"October 22, 1982",1.0,0.0,0.02357693947851658
2607,The 1935Â Labor Day hurricane,Wilma,0.0,0.0,0.023584717884659767
2414,1909,"June 1, 2008",0.0,0.0,0.023693380877375603
373,1989,20 July 2018,0.0,0.0,0.02380339615046978
1315,Buzz Lightyear,Annie Hall,0.0,0.0,0.023859776556491852
2164,"""Formality""",Season 1,2.0,0.0,0.023952441290020943
211,shoulder blade,humerus,0.0,0.0,0.024274900555610657
2553,Ken Block,ryan newell,0.0,0.0,0.02436831407248974
2436,Oscar Hertwig,RNA,0.0,0.0,0.024418756365776062
1347,China,Papyrus,0.0,0.0,0.02442990243434906
2234,Myers,Led Zeppelin,0.0,0.0,0.024431077763438225
3331,volcanic,a normally inaccessible mini-game,0.0,0.0,0.024513252079486847
370,1989,20th July 2018,0.0,0.0,0.024741144850850105
1533,Larry Smith,Bridgette Doremus,0.0,0.0,0.02495926059782505
2887,Clayton Kershaw,Los Angeles Dodgers,0.0,0.0,0.025389039888978004
1414,Stéphanie Szostak,Allison Miller,0.0,0.0,0.025489920750260353
922,Ayesha,Zoe Saldana,0.0,0.0,0.025547266006469727
176,"Five Keys, New Mexico",the United Kingdom,0.0,0.0,0.025751637294888496
2639,Brazil,sri lanka,0.0,0.0,0.025801386684179306
315,Isaac Liev Schreiber,brad williams,0.0,0.0,0.025852475315332413
2612,"Darrel ""Darry"" Curtis",ponyboy curtis,0.0,0.4,0.02587888576090336
3362,Dwight Yoakam,Freddie Mercury,1.0,0.0,0.02644336223602295
2919,May - August 2007,"July 7, 2017",0.0,0.0,0.026706576347351074
1353,China,United States,2.0,0.0,0.02693527191877365
2308,Kristian Kordula,Gavin Alexander Houston,0.0,0.0,0.02712458185851574
3083,obsessive–compulsive disorder,Jewish,0.0,0.0,0.027214698493480682
2972,Vasco da Gama,devasahayam pillai,0.0,0.0,0.027504680678248405
3545,Talia Shire,tefan avrn,0.0,0.0,0.027640048414468765
2650,Health information technology,BLS,0.0,0.0,0.027674440294504166
1050,The Fury in the Jury,The Net '',0.0,0.0,0.027840904891490936
2221,Michael Faraday,Guillaume Duchenne,0.0,0.0,0.02786083333194256
3590,Stuart Townend,Aurelius Prudentius,0.0,0.0,0.028033370152115822
577,"""Formality""",season 6,0.0,0.0,0.02840322256088257
773,Dalila Bela,Nicollette Sheridan,0.0,0.0,0.02850409410893917
3247,Harry Redknapp,navin chawla,0.0,0.0,0.02851605974137783
1654,49–47 BCE,near the end of the Ptolemaic period,0.0,0.0,0.028767574578523636
2027,the Welsh language name llwyd,The Andy Griffith Show,0.0,0.0,0.028767621144652367
1432,Justin Rose,Bud Cauley,0.0,0.0,0.028805449604988098
916,Nicole Scherzinger,Simon Cowell,0.0,0.0,0.028913693502545357
1991,Des Moines,kansas city,2.0,0.0,0.029245641082525253
226,Nyle DiMarco,gerrard gosens,0.0,0.0,0.02926163375377655
399,Nate Corddry,kevin pollak,0.0,0.0,0.029335079714655876
1718,He­lium,dmitri mendeleev,0.0,0.0,0.02935262769460678
2159,"""Formality""",Wolf Moon '',0.0,0.0,0.029782027006149292
3449,Óscar Arnulfo Romero y Galdámez,"March 24, 1980",0.0,0.0,0.03013031743466854
1467,Alessia Cara,Justin Timberlake,0.0,0.0,0.030133940279483795
316,Isaac Liev Schreiber,Kiefer Sutherland,0.0,0.0,0.030206771567463875
1683,Worcester Wreath Company,evergreens,0.0,0.0,0.030537979677319527
135,1969,as early as 1849,0.0,0.0,0.030725514516234398
2976,Prudential plc,Pakistan,0.0,0.0,0.03078988753259182
2293,self-perfection,Message in a Bottle,0.0,0.0,0.030808592215180397
272,"2,300,000,000",1.6 billion,0.0,0.0,0.030830632895231247
780,"Fortuna, North Dakota",the Bahamas,0.0,0.0,0.03103511966764927
578,"""Formality""",sixth season,0.0,0.0,0.03104334883391857
3595,William Jennings Bryan,Sarah Palin,0.0,0.0,0.03109726868569851
220,a gender-neutral honorific,sita ram ji,0.0,0.0,0.03117496706545353
2957,quantitative research methods,Christianity,0.0,0.0,0.031208258122205734
2600,1870,1994,0.0,0.0,0.031262196600437164
1326,increased metabolism,Adrenaline,2.0,0.0,0.031447526067495346
2492,parts of southern California,United Kingdom,1.0,0.0,0.03150586783885956
1568,thirteenth,Namakarana,0.0,0.0,0.03190341219305992
2192,Brontis Jodorowsky,David Sakurai,0.0,0.0,0.03206930682063103
329,the Portuguese,Christopher Columbus,0.0,0.0,0.03208616003394127
2002,Jakob Fugger,Carlos Slim,1.0,0.0,0.03209385275840759
2851,1980,"october 4, 2015",1.0,0.0,0.03223293647170067
896,Raul Bova,dustin hoffman,0.0,0.0,0.03225875645875931
897,Raul Bova,Pope Francis,0.0,0.0,0.032559532672166824
895,Raul Bova,Pope Eugene IV,0.0,0.0,0.03292802348732948
2902,Ryan Tedder,america the beautiful,0.0,0.0,0.03293644264340401
834,1965,31 March 2001,0.0,0.0,0.03306107595562935
1663,Cole Porter,Jewel Akens,0.0,0.0,0.033343296498060226
1496,Tom Petty and the Heartbreakers,Andr\u00e9s Cantor,0.0,0.0,0.03337486833333969
2,Amma,Camille Preaker,0.0,0.0,0.03358488529920578
1047,Kareem Abdul-Jabbar,Michael Jordan,0.0,0.0,0.033601172268390656
225,Nyle DiMarco,shannon elizabeth,0.0,0.0,0.03366879001259804
3013,The Crocodile,Sobek,0.0,0.0,0.0336914137005806
1956,Lazarus Muoka,Lord Macaulay,0.0,0.0,0.0338733047246933
3268,Patty Maloney,Frank Bank,0.0,0.0,0.03398602828383446
1178,Michael Wincott,jim caviezel,0.0,0.0,0.03399403765797615
1161,Elizabeth II,George H.W. Bush,0.0,0.0,0.034112244844436646
2908,Wendy Crewson,aisha tyler,0.0,0.0,0.034189220517873764
