,answer1,answer2,label,sas,f1,bertvanilla
0,Nine,none,0.0,0.038783907890319824,0.0,0.4134675860404968
1,Amma,chucky,0.0,0.009493888355791569,0.0,0.24111387133598328
2,Amma,Camille Preaker,0.0,0.009733972139656544,0.0,0.21941880881786346
3,Amma,Luke,0.0,0.009562144987285135,0.0,0.22588832676410675
4,Alexandria Ocasio-Cortez,Kevin McCarthy,0.0,0.009641685523092748,0.0,0.22351108491420746
5,Alexandria Ocasio-Cortez,29,0.0,0.013493286445736885,0.0,0.23423925042152405
6,Alexandria Ocasio-Cortez,elise stefanik,1.0,0.009645100682973862,0.0,0.2263774424791336
7,Alexandria Ocasio-Cortez,elise marie stefanik,1.0,0.009481336921453476,0.0,0.22644966840744019
8,Raj Guru Gajaraj Mishra,Singha Durbar,0.0,0.009501119144260885,0.0,0.31378471851348877
9,Raj Guru Gajaraj Mishra,Nepal,0.0,0.00966637209057808,0.0,0.25668469071388245
10,Raj Guru Gajaraj Mishra,raj guru gajraj mishra,2.0,0.9709824919700624,0.75,0.8412197828292847
11,Raj Guru Gajaraj Mishra,Chandra Sekher Upadhyaya,2.0,0.01033737789839506,0.0,0.2963711619377136
12,53,eleven,0.0,0.01109507866203785,0.0,0.4902316927909851
13,53,46,0.0,0.1121632680296898,0.0,0.8424565196037292
14,Hawkeye,trick shot,0.0,0.009465470910072328,0.0,0.24618157744407654
15,Hawkeye,Golden Archer,0.0,0.009611104615032671,0.0,0.28088438510894775
16,Hawkeye,Constantine Drakon,0.0,0.009869934059679508,0.0,0.2736763656139374
17,Hawkeye,Thanos,0.0,0.009433704428374769,0.0,0.26414528489112854
18,Hawkeye,Thor,0.0,0.0096502723172307,0.0,0.2469279021024704
19,Hawkeye,Yondu,1.0,0.009783192537724972,0.0,0.22591491043567657
20,53-member main roster,eleven,0.0,0.15548895299434662,0.0,0.3208288848400116
21,53-member main roster,a maximum of 53,0.0,0.7806001901626587,0.0,0.42293137311935425
22,53-member main roster,a maximum of eleven,0.0,0.2297748178243637,0.0,0.3085051476955414
23,53-member main roster,11,0.0,0.03902097046375275,0.0,0.3679560422897339
24,53-member main roster,53,2.0,0.7901249527931213,0.0,0.5138146281242371
25,oleic acid,monounsaturated fatty acids,0.0,0.2362973839044571,0.0,0.38594645261764526
26,oleic acid,monounsaturated,0.0,0.05739450827240944,0.0,0.23508143424987793
27,oleic acid,stearidonic acid,0.0,0.3600602447986603,0.5,0.6423118710517883
