,answer1,answer2,label,bert_score
485,Zhu Yuanzhang,thanks,0.0,0.19615913927555084
37,1.3 million,San Diego,0.0,0.19909976422786713
646,Vistula Valley,geomorphologic,0.0,0.20707185566425323
630,Mao Zedong,Sultan Galiev and Vasyl Shakhrai,0.0,0.2160814106464386
302,Vice President Agnew,Marshall Cohen,0.0,0.21662317216396332
550,Sankt Goarshausen,Lorelei,0.0,0.21921835839748383
172,Federica Mogherini,Jean-Claude Juncker,0.0,0.21948647499084473
226,Vendobionta,ctenophores,0.0,0.21964925527572632
685,Major General James Abercrombie,Lord Loudoun,0.0,0.2205485999584198
496,World Meteorological Organization,WMO,2.0,0.22225317358970642
717,Schrödinger,Newtonian equations,0.0,0.22344492375850677
344,coercive,civil disobedience,0.0,0.22400279343128204
536,Hoek van Holland,(1036.20 km),0.0,0.22437648475170135
215,diploblastic,ctenophores,0.0,0.225192591547966
224,Cestum veneris,up to 1.5 meters (4.9 ft) long,0.0,0.22791610658168793
46,Freeview,ITV Digital,0.0,0.22841568291187286
554,Merwede-Oude Maas,North Sea,0.0,0.2287982553243637
55,Ku band,9.75/10.600 GHz,0.0,0.2290479838848114
543,Rheinbrech,Upper Lake,0.0,0.22924648225307465
544,Rheinbrech,Upper Lake,0.0,0.22924648225307465
686,Major General Louis-Joseph de Montcalm,Lord Loudoun,0.0,0.23024658858776093
288,nonviolent resistance,unfair laws,0.0,0.23055610060691833
553,Old Rhine,Oude Rijn,2.0,0.23217585682868958
618,uncivilized,fully human,0.0,0.2331552654504776
88,Corliss,patent valve,0.0,0.23428098857402802
51,BSkyB,British Sky Broadcasting,2.0,0.23452512919902802
300,Marshall Cohen,President Agnew,0.0,0.23542267084121704
632,pseudo-sciences,British Empire,0.0,0.2373223751783371
682,Colonel Monckton,British,0.0,0.23812717199325562
343,limited coercion,civil disobedience,0.0,0.23880508542060852
246,host interface to X.25 and the terminal interface to X.29,ARPANET,0.0,0.23899802565574646
35,Inland Empire,Temecula and Murrieta,0.0,0.23965848982334137
48,monthly fee,SkyHD box,0.0,0.2396773099899292
535,Gaulish name Rēnos,Rhenus,2.0,0.239854633808136
293,Henry David Thoreau,Gandhi,0.0,0.24023142457008362
601,Sharia,an idealized and systematized version of conservative tribal village customs,0.0,0.24031367897987366
320,must be publicly announced,civil disobedience,0.0,0.24237175285816193
412,Institute for Policy Studies,PolitiFact,1.0,0.24282191693782806
166,Chevrolet Bel Air,lower price models,0.0,0.2428818643093109
720,parallel,antisymmetric,0.0,0.24388407170772552
342,sending an email,Supreme Court case,0.0,0.24429930746555328
552,Noord River,Nieuwe Maas,0.0,0.2443000078201294
83,Parris Island,Southeastern U.S.,1.0,0.2444271296262741
549,Switzerland,Duisburg,0.0,0.2452629953622818
95,Advanced Steam,cogeneration processes,0.0,0.24565108120441437
546,Moselle,Neckar,0.0,0.24638411402702332
208,colloblasts,retractable tentacles fringed with tentilla,2.0,0.24793219566345215
668,200 Troupes de la marine and 30 Indians,Céloron,0.0,0.24845951795578003
497,United Nations Environment Programme,UNEP,2.0,0.24853433668613434
0,Seine,Epte,0.0,0.24856378138065338
290,Oedipus,Antigone,0.0,0.24906958639621735
346,coercion,make it more difficult for a system to function,0.0,0.24928449094295502
38,Los Angeles Area,major business,0.0,0.25231343507766724
493,bacteriophages,viral,0.0,0.25263041257858276
376,incapacitation,achieving crime control,0.0,0.25440409779548645
292,nonviolent,political poem,0.0,0.2544670104980469
588,Edinburgh Pentlands,former party leader,0.0,0.2548116445541382
114,non-combustible,wood,0.0,0.2551591396331787
619,the British Empire,Terra nullius,0.0,0.2564403712749481
304,specific,civil disobedience,0.0,0.25745120644569397
205,phylum of animals that live in marine waters,comb jellies,1.0,0.25751355290412903
164,Lexus,Acura,0.0,0.2577987015247345
570,debating chamber,Wednesday afternoons,0.0,0.25784802436828613
526,diverges,exceeds any given number,0.0,0.2588268220424652
122,twice,50% more,0.0,0.25953248143196106
318,civil disobedience,lawbreaking,1.0,0.2599312365055084
689,Loudoun,Duke of Cumberland,0.0,0.25993481278419495
119,ozone,Trioxygen,2.0,0.2602789103984833
251,a partnership with Level 3 Communications to launch a brand new nationwide network,Qwest,0.0,0.26037687063217163
363,defiant speech,allocution,2.0,0.26219847798347473
574,no revising chamber,"take evidence from witnesses, conduct inquiries and scrutinise legislation",0.0,0.26235729455947876
86,Calvinist,Walloon,0.0,0.2637420892715454
522,primorial primes,Fermat,0.0,0.264207124710083
77,regional cities,Phillip Island,0.0,0.2644718885421753
227,all other animals,Bilateria,0.0,0.2649904489517212
479,Shoushi Li,授時暦,0.0,0.26508891582489014
271,the pre-Heian Imperial court,Taihō Code,0.0,0.26572126150131226
228,The isolated subdivision,Dogg Pound,0.0,0.26588356494903564
495,Korean,onomist,0.0,0.26629769802093506
515,Christian Goldbach,mathematicians,0.0,0.2668743133544922
279,dispensing substandard products,potentially dangerous,0.0,0.26762688159942627
50,Sky+,PVR,0.0,0.2677325904369354
305,constitutional impasse,her or his capacity as public official,0.0,0.2684047520160675
655,Polonez,125p,0.0,0.26877889037132263
731,movable pulleys,every string,0.0,0.2688363194465637
207,water flow through the body cavity,κτείς kteis 'comb' and φέρω pherō 'carry',0.0,0.2692987322807312
331,jail solidarity,solitary civil disobedience,0.0,0.2694333493709564
482,Ilkhanate,reaching the highest-post in the government,0.0,0.26945945620536804
157,5% production cut,"declared Japan a ""nonfriendly"" country",0.0,0.2708607017993927
105,photosynthesis,living organisms,0.0,0.27089542150497437
577,automatically devolved,not specifically reserved,0.0,0.27091601490974426
252,The network was engineered and operated by MCI Telecommunications under a cooperative agreement with the NSF,National Science Foundation,1.0,0.27094778418540955
578,UK Government ministers,Westminster,0.0,0.2712225615978241
295,unjust forms of authority,Peterloo massacre,0.0,0.27170974016189575
673,Tanaghrisson,the Mingo,0.0,0.2719966173171997
545,Lindau,Mainau,0.0,0.2721318006515503
53,Thomson,STB,0.0,0.27222779393196106
345,refusals to pay taxes,civil disobedience,1.0,0.2728603482246399
528,twin prime conjecture,Polignac's,0.0,0.27292579412460327
374,avoiding attribution,viewed as not being a civil disobedient,0.0,0.2738270163536072
91,Reciprocating piston,steam turbines,0.0,0.27408379316329956
484,a Qara-Khitay (Khitan,Ahai,0.0,0.27418893575668335
523,Fermat primes,Mersenne,0.0,0.2751982510089874
466,Alpha Phi Omega,Four,0.0,0.27546605467796326
454,emissions per person,this multiplier,0.0,0.27598029375076294
353,use the arrest as an opportunity,civil disobedience,0.0,0.2759808897972107
393,voucher,pupils are free to choose a private school,0.0,0.2760980427265167
275,patient care rounds drug product selection,interdisciplinary approach,0.0,0.27630430459976196
297,"muggers, arsonists, draft evaders, campaign hecklers, campus militants, anti-war demonstrators, juvenile delinquents and political assassins",civil disobedience,1.0,0.27682188153266907
144,They arranged for Israel to pull back from the Sinai Peninsula and the Golan Heights.,multilateral,0.0,0.2774744927883148
529,indecomposability,minimality,0.0,0.2776974141597748
542,Lake Rhine,Seerhein,2.0,0.277704119682312
735,formalism,the relevant cross-sectional area for the volume for which the stress-tensor is being calculated,0.0,0.2786116600036621
531,4k + 3,Z,0.0,0.27872583270072937
24,Los Angeles,Riverside,0.0,0.27873513102531433
525,n < p < 2n − 2,A or μ,0.0,0.2788703143596649
358,creative plea,no contest,0.0,0.2788991332054138
451,redistributive taxation,fertility,0.0,0.27906787395477295
633,Middle East,Africa,0.0,0.27917250990867615
176,"legislation can be blocked by a majority in Parliament, a minority in the Council, and a majority in the Commission",unanimity,0.0,0.27918004989624023
398,Benjamin Netanyahu,Benazir Bhutto,0.0,0.2792115807533264
370,general disobedience,great amount of it,0.0,0.2797715663909912
272,status superior to all others in health-related fields such as physicians and acupuncturists,Ranked positions,0.0,0.28001436591148376
143,members of the Organization of Arab Petroleum Exporting Countries,OAPEC,2.0,0.28009679913520813
141,mechanical ventilators,oxygen masks,0.0,0.2805686593055725
721,force,4-momentum in relativity and momentum of virtual particles in quantum electrodynamics,0.0,0.2807631492614746
321,fabricating evidence or committing perjury,covert lawbreaking,0.0,0.2814294397830963
704,vector quantities,dependent upon how strong,0.0,0.2816038131713867
399,Timucua,Mocama,0.0,0.2822161018848419
276,all health care settings,drug product selection,0.0,0.2822597622871399
382,Working versions of 3D-printing building technology are already printing,2014,0.0,0.28247764706611633
98,stoking,Mechanical stoker,1.0,0.28266841173171997
128,carbon cycle,plant health status,0.0,0.2830464839935303
431,steeper tax,social spending,0.0,0.2837163507938385
427,low wage,competition,0.0,0.2840255796909332
366,mistreatment from government officials,sentence,0.0,0.28444650769233704
392,government schools formerly reserved for white children,semi-private,1.0,0.28463196754455566
335,trespassing at a nuclear-missile installation,symbolic illegal protests,0.0,0.2846449315547943
40,Hospitality Business/Financial Centre,Downtown Riverside,0.0,0.28464531898498535
34,regional tourism groups,AAA Auto Clubs,0.0,0.28565165400505066
499,"""business as usual"" (BAU)",enhanced greenhouse effect,0.0,0.28593823313713074
219,osmotic pressure,It is uncertain,0.0,0.2862379848957062
56,no,Third-party channels,0.0,0.28649359941482544
589,"able to vote on domestic legislation that applies only to England, Wales and Northern Ireland",procedural consequence,0.0,0.2865181565284729
195,Purus Arch,along the middle,0.0,0.28670161962509155
261,crust,lithosphere,0.0,0.2871818244457245
155,"last week of February 1974,",20%,0.0,0.28746795654296875
137,Decompression sickness,"bubbles of inert gas, mostly nitrogen and helium, forming in their blood",2.0,0.28797221183776855
301,"code-word describing the activities of muggers, arsonists, draft evaders",utterly debased,0.0,0.28822582960128784
540,Lake Constance,West by the Alter Rhein,0.0,0.28825217485427856
258,East Smithfield,England,1.0,0.288453072309494
361,accept jail penitently,is to switch suddenly to a spirit of subservience,0.0,0.2888173460960388
124,compressing and cooling,cascade method,0.0,0.28881752490997314
303,impossible,a maze of semantical problems and grammatical niceties,0.0,0.28905487060546875
115,Air,a substance like wood gains overall weight in burning,0.0,0.28916043043136597
61,Sky TV bills,claimants,0.0,0.28918948769569397
23,the general number field sieve,RSA,0.0,0.289973646402359
94,cotton spinning,operations requiring constant speed,0.0,0.29090213775634766
629,Eastern Europe,1919–20,0.0,0.29135245084762573
457,various academic disciplines,"the world's first man-made, self-sustaining nuclear reaction",0.0,0.2917124330997467
265,absolute ages,rock units,0.0,0.2920306622982025
235,"use of a decentralized network with multiple paths between any two points, dividing user messages into message blocks",ideas,0.0,0.2920452058315277
187,if they were non-discriminatory,"participate in economic life ""on a stable and continuous basis""",0.0,0.29221010208129883
116,chemically,a covalent double bond,0.0,0.292842835187912
402,Spanish moss,kitchen fire,0.0,0.293381005525589
448,a great deal of utility,basic necessities,0.0,0.2934022843837738
391,Society of St Pius X,Catholic schismatic,0.0,0.29340794682502747
548,Switzerland,Lower Rhine,0.0,0.2937023937702179
294,free India,protest and political action,0.0,0.29402628540992737
442,Gender,ranges from 53% in Botswana to -40% in Bahrain,0.0,0.2941996157169342
395,"identify, recruit",Conant devised programs,0.0,0.2943113446235657
669,"British merchants or fur-traders, Céloron informed them of the French claims on the territory and told them to leave.",buried lead plates,0.0,0.294687956571579
688,poor harvest,allegedly corrupt machinations of François Bigot,0.0,0.29469895362854004
478,western,Yuan dynasty,0.0,0.29491424560546875
603,ended the true Islamic system,working through Turkish modernist Mustafa Kemal Atatürk,0.0,0.29495829343795776
136,Hyperbaric (high-pressure) medicine,special oxygen chambers,1.0,0.2952287197113037
524,The Electronic Frontier Foundation,"$150,000",0.0,0.29563331604003906
289,former King of Thebes,Oedipus,1.0,0.29585322737693787
327,"cultural traditions, social customs, religious beliefs",revolutionary civil disobedience,0.0,0.29622069001197815
285,apartheid,Singing Revolution to bring independence to the Baltic countries,0.0,0.2964847683906555
248,use of the name was incorrect all these services were managed by the same people within one department of KPN contributed to the confusion,Dutch PTT Telecom,0.0,0.2973569333553314
687,"attack on New France's capital, Quebec",one major operation,0.0,0.29761630296707153
117,triplet oxygen,O,1.0,0.29873916506767273
