,answer1,answer2,label,bert_score
485,Zhu Yuanzhang,thanks,0.0,tensor([0.1962])
37,1.3 million,San Diego,0.0,tensor([0.1991])
646,Vistula Valley,geomorphologic,0.0,tensor([0.2071])
630,Mao Zedong,Sultan Galiev and Vasyl Shakhrai,0.0,tensor([0.2161])
302,Vice President Agnew,Marshall Cohen,0.0,tensor([0.2166])
550,Sankt Goarshausen,Lorelei,0.0,tensor([0.2192])
172,Federica Mogherini,Jean-Claude Juncker,0.0,tensor([0.2195])
226,Vendobionta,ctenophores,0.0,tensor([0.2196])
685,Major General James Abercrombie,Lord Loudoun,0.0,tensor([0.2205])
496,World Meteorological Organization,WMO,2.0,tensor([0.2223])
717,Schrödinger,Newtonian equations,0.0,tensor([0.2234])
344,coercive,civil disobedience,0.0,tensor([0.2240])
536,Hoek van Holland,(1036.20 km),0.0,tensor([0.2244])
215,diploblastic,ctenophores,0.0,tensor([0.2252])
224,Cestum veneris,up to 1.5 meters (4.9 ft) long,0.0,tensor([0.2279])
46,Freeview,ITV Digital,0.0,tensor([0.2284])
554,Merwede-Oude Maas,North Sea,0.0,tensor([0.2288])
55,Ku band,9.75/10.600 GHz,0.0,tensor([0.2290])
543,Rheinbrech,Upper Lake,0.0,tensor([0.2292])
544,Rheinbrech,Upper Lake,0.0,tensor([0.2292])
686,Major General Louis-Joseph de Montcalm,Lord Loudoun,0.0,tensor([0.2302])
288,nonviolent resistance,unfair laws,0.0,tensor([0.2306])
553,Old Rhine,Oude Rijn,2.0,tensor([0.2322])
618,uncivilized,fully human,0.0,tensor([0.2332])
88,Corliss,patent valve,0.0,tensor([0.2343])
51,BSkyB,British Sky Broadcasting,2.0,tensor([0.2345])
300,Marshall Cohen,President Agnew,0.0,tensor([0.2354])
632,pseudo-sciences,British Empire,0.0,tensor([0.2373])
682,Colonel Monckton,British,0.0,tensor([0.2381])
343,limited coercion,civil disobedience,0.0,tensor([0.2388])
246,host interface to X.25 and the terminal interface to X.29,ARPANET,0.0,tensor([0.2390])
35,Inland Empire,Temecula and Murrieta,0.0,tensor([0.2397])
48,monthly fee,SkyHD box,0.0,tensor([0.2397])
535,Gaulish name Rēnos,Rhenus,2.0,tensor([0.2399])
293,Henry David Thoreau,Gandhi,0.0,tensor([0.2402])
601,Sharia,an idealized and systematized version of conservative tribal village customs,0.0,tensor([0.2403])
320,must be publicly announced,civil disobedience,0.0,tensor([0.2424])
412,Institute for Policy Studies,PolitiFact,1.0,tensor([0.2428])
166,Chevrolet Bel Air,lower price models,0.0,tensor([0.2429])
720,parallel,antisymmetric,0.0,tensor([0.2439])
342,sending an email,Supreme Court case,0.0,tensor([0.2443])
552,Noord River,Nieuwe Maas,0.0,tensor([0.2443])
83,Parris Island,Southeastern U.S.,1.0,tensor([0.2444])
549,Switzerland,Duisburg,0.0,tensor([0.2453])
95,Advanced Steam,cogeneration processes,0.0,tensor([0.2457])
546,Moselle,Neckar,0.0,tensor([0.2464])
208,colloblasts,retractable tentacles fringed with tentilla,2.0,tensor([0.2479])
668,200 Troupes de la marine and 30 Indians,Céloron,0.0,tensor([0.2485])
497,United Nations Environment Programme,UNEP,2.0,tensor([0.2485])
