,answer1,answer2,label,bi_encoder,f1
382,Working versions of 3D-printing building technology are already printing,2014,0.0,-0.14194104075431824,0.5
311,not necessarily right,the will of elite politicians,0.0,-0.11059580743312836,0.5
77,regional cities,Phillip Island,0.0,-0.08964570611715317,0.5
250,"role in spreading awareness of, and access to, national networking and was a major milestone on the path to development of the global Internet",not be directly connected to ARPANET,0.0,-0.08187182992696762,0.5
199,one in five,"2,200",0.0,-0.06192699074745178,0.5
246,host interface to X.25 and the terminal interface to X.29,ARPANET,0.0,-0.057802073657512665,0.5
574,no revising chamber,"take evidence from witnesses, conduct inquiries and scrutinise legislation",0.0,-0.053574927151203156,0.5
457,various academic disciplines,"the world's first man-made, self-sustaining nuclear reaction",0.0,-0.04738897085189819,0.5
410,the methodology used,"""silly argument"" and ""a non-issue . . . a diversion.""",0.0,-0.0449630506336689,0.5
364,lack of remorse,the judge increased her sentence,0.0,-0.04338880628347397,0.5
400,Battle of Cedar Creek,1864,0.0,-0.03181574121117592,0.5
155,"last week of February 1974,",20%,0.0,-0.030785152688622475,0.5
459,passed,Several University of Chicago professors,0.0,-0.025991668924689293,0.5
299,utterly debased,everything from bringing a test-case in the federal courts to taking aim at a federal official,0.0,-0.022244811058044434,0.5
629,Eastern Europe,1919–20,0.0,-0.022097639739513397,0.5
630,Mao Zedong,Sultan Galiev and Vasyl Shakhrai,0.0,-0.02148263156414032,0.5
589,"able to vote on domestic legislation that applies only to England, Wales and Northern Ireland",procedural consequence,0.0,-0.014501135796308517,0.5
411,a diversion,the basis of the methodology used,0.0,-0.009530153125524521,0.5
278,another customer might overhear about the drugs that they take,homebound,0.0,-0.008699131198227406,0.5
670,"very badly disposed towards the French, and are entirely devoted to the English",what way they could be brought back,0.0,-0.006585005670785904,0.5
88,Corliss,patent valve,0.0,-0.004901362583041191,0.5
591,a historical fluke,political Islam,0.0,-0.004777305293828249,0.5
499,"""business as usual"" (BAU)",enhanced greenhouse effect,0.0,-0.001768495887517929,0.5
581,supplant it.,"reverts to the first Thursday in May, a multiple of four years after 1999",0.0,0.009175593964755535,0.5
281,In some rural areas in the United Kingdom,prescribe and dispense prescription-only medicines to their patients from within their practices,0.0,0.009667392820119858,0.5
671,British colonists would not be safe as long as the French were present,forceful,0.0,0.011107171885669231,0.5
369,inform the jury and the public of the political circumstances,plead not guilty,0.0,0.018547432497143745,0.5
729,residual of the force,nucleons in atomic nuclei,0.0,0.02181844413280487,0.5
617,geographical societies in Europe,necessary for a state’s survival,0.0,0.022194337099790573,0.5
140,Acute oxygen toxicity,seizures,0.0,0.024354059249162674,0.5
132,dangerous by-products,the immune system,0.0,0.02650502696633339,0.5
268,provide better absolute bounds on the timing and rates of deposition,gain information about past climate,0.0,0.02677931636571884,0.5
526,diverges,exceeds any given number,0.0,0.027868861332535744,0.5
294,free India,protest and political action,0.0,0.03132539242506027,0.5
113,Avogadro's law,the correct interpretation of water's composition,0.0,0.031397365033626556,0.5
79,some of the Huguenots were nobles trying to establish separate centers of power in southern France,political reasons,0.0,0.03465239703655243,0.5
235,"use of a decentralized network with multiple paths between any two points, dividing user messages into message blocks",ideas,0.0,0.0348367765545845,0.5
409,about 3.5 billion people,50%,0.0,0.03644357621669769,0.5
