,answer1,answer2,label,bi_encoder
382,Working versions of 3D-printing building technology are already printing,2014,0.0,-0.14194104075431824
311,not necessarily right,the will of elite politicians,0.0,-0.11059580743312836
77,regional cities,Phillip Island,0.0,-0.08964570611715317
250,"role in spreading awareness of, and access to, national networking and was a major milestone on the path to development of the global Internet",not be directly connected to ARPANET,0.0,-0.08187182992696762
199,one in five,"2,200",0.0,-0.06192699074745178
246,host interface to X.25 and the terminal interface to X.29,ARPANET,0.0,-0.057802073657512665
574,no revising chamber,"take evidence from witnesses, conduct inquiries and scrutinise legislation",0.0,-0.053574927151203156
457,various academic disciplines,"the world's first man-made, self-sustaining nuclear reaction",0.0,-0.04738897085189819
410,the methodology used,"""silly argument"" and ""a non-issue . . . a diversion.""",0.0,-0.0449630506336689
364,lack of remorse,the judge increased her sentence,0.0,-0.04338880628347397
400,Battle of Cedar Creek,1864,0.0,-0.03181574121117592
155,"last week of February 1974,",20%,0.0,-0.030785152688622475
459,passed,Several University of Chicago professors,0.0,-0.025991668924689293
299,utterly debased,everything from bringing a test-case in the federal courts to taking aim at a federal official,0.0,-0.022244811058044434
629,Eastern Europe,1919–20,0.0,-0.022097639739513397
630,Mao Zedong,Sultan Galiev and Vasyl Shakhrai,0.0,-0.02148263156414032
589,"able to vote on domestic legislation that applies only to England, Wales and Northern Ireland",procedural consequence,0.0,-0.014501135796308517
411,a diversion,the basis of the methodology used,0.0,-0.009530153125524521
278,another customer might overhear about the drugs that they take,homebound,0.0,-0.008699131198227406
670,"very badly disposed towards the French, and are entirely devoted to the English",what way they could be brought back,0.0,-0.006585005670785904
88,Corliss,patent valve,0.0,-0.004901362583041191
591,a historical fluke,political Islam,0.0,-0.004777305293828249
499,"""business as usual"" (BAU)",enhanced greenhouse effect,0.0,-0.001768495887517929
581,supplant it.,"reverts to the first Thursday in May, a multiple of four years after 1999",0.0,0.009175593964755535
281,In some rural areas in the United Kingdom,prescribe and dispense prescription-only medicines to their patients from within their practices,0.0,0.009667392820119858
671,British colonists would not be safe as long as the French were present,forceful,0.0,0.011107171885669231
369,inform the jury and the public of the political circumstances,plead not guilty,0.0,0.018547432497143745
729,residual of the force,nucleons in atomic nuclei,0.0,0.02181844413280487
617,geographical societies in Europe,necessary for a state’s survival,0.0,0.022194337099790573
140,Acute oxygen toxicity,seizures,0.0,0.024354059249162674
132,dangerous by-products,the immune system,0.0,0.02650502696633339
268,provide better absolute bounds on the timing and rates of deposition,gain information about past climate,0.0,0.02677931636571884
526,diverges,exceeds any given number,0.0,0.027868861332535744
294,free India,protest and political action,0.0,0.03132539242506027
113,Avogadro's law,the correct interpretation of water's composition,0.0,0.031397365033626556
79,some of the Huguenots were nobles trying to establish separate centers of power in southern France,political reasons,0.0,0.03465239703655243
235,"use of a decentralized network with multiple paths between any two points, dividing user messages into message blocks",ideas,0.0,0.0348367765545845
409,about 3.5 billion people,50%,0.0,0.03644357621669769
688,poor harvest,allegedly corrupt machinations of François Bigot,0.0,0.03830862417817116
295,unjust forms of authority,Peterloo massacre,0.0,0.038735177367925644
13,mathematical models,branching,0.0,0.03994707763195038
602,a different view,Islam's pivotal turning point as occurring not with the death of Ali,0.0,0.0400690883398056
665,"from Nova Scotia and Newfoundland in the north, to Georgia in the south",eastern coast of the continent,0.0,0.04079900309443474
78,the southern and central parts of France,about one-eighth,0.0,0.04205593094229698
37,1.3 million,San Diego,0.0,0.04279839247465134
550,Sankt Goarshausen,Lorelei,0.0,0.043514855206012726
147,renewal of hostilities in the Arab–Israeli conflict,.,0.0,0.04541217163205147
393,voucher,pupils are free to choose a private school,0.0,0.04601175710558891
157,5% production cut,"declared Japan a ""nonfriendly"" country",0.0,0.04764391481876373
482,Ilkhanate,reaching the highest-post in the government,0.0,0.048087261617183685
