,answer1,answer2,label,sas
630,Mao Zedong,Sultan Galiev and Vasyl Shakhrai,0.0,0.001090360339730978
227,all other animals,Bilateria,0.0,0.004672144539654255
540,Lake Constance,West by the Alter Rhein,0.0,0.009475387632846832
85,William the Silent,Pierre L'Oyseleur,0.0,0.012881672009825706
619,the British Empire,Terra nullius,0.0,0.021044164896011353
59,25m,36% of households,0.0,0.022746846079826355
543,Rheinbrech,Upper Lake,0.0,0.025318782776594162
544,Rheinbrech,Upper Lake,0.0,0.025318782776594162
691,Choctaw and the Creek,tribes that did not want to do business with the British,0.0,0.035874009132385254
485,Zhu Yuanzhang,thanks,0.0,0.03697576746344566
224,Cestum veneris,up to 1.5 meters (4.9 ft) long,0.0,0.03738955408334732
527,identity,algebraic,0.0,0.041125643998384476
228,The isolated subdivision,Dogg Pound,0.0,0.04133081063628197
457,various academic disciplines,"the world's first man-made, self-sustaining nuclear reaction",0.0,0.04559626430273056
402,Spanish moss,kitchen fire,0.0,0.047630421817302704
632,pseudo-sciences,British Empire,0.0,0.04817923158407211
591,a historical fluke,political Islam,0.0,0.04908699169754982
398,Benjamin Netanyahu,Benazir Bhutto,0.0,0.04958609491586685
300,Marshall Cohen,President Agnew,0.0,0.049998778849840164
474,Yangzi River basin,the Song dynasty,0.0,0.05108541622757912
554,Merwede-Oude Maas,North Sea,0.0,0.05188046023249626
342,sending an email,Supreme Court case,0.0,0.05209002271294594
460,1910,Several University of Chicago professors,0.0,0.05241919308900833
61,Sky TV bills,claimants,0.0,0.05640998110175133
442,Gender,ranges from 53% in Botswana to -40% in Bahrain,0.0,0.056466590613126755
643,Victory Square,1979,0.0,0.05744030699133873
438,gender inequality in education,low economic growth,0.0,0.059362661093473434
295,unjust forms of authority,Peterloo massacre,0.0,0.05954534932971001
35,Inland Empire,Temecula and Murrieta,0.0,0.061190132051706314
96,pollution,Advanced Steam movement,0.0,0.06262199580669403
528,twin prime conjecture,Polignac's,0.0,0.06278693675994873
605,Christian Whiton,George W. Bush,0.0,0.06400830298662186
13,mathematical models,branching,0.0,0.06594665348529816
229,1885,July 1982 to June 1983,0.0,0.06616926193237305
207,water flow through the body cavity,κτείς kteis 'comb' and φέρω pherō 'carry',0.0,0.06685840338468552
521,Solovay-Strassen tests,Miller-Rabin,0.0,0.06686613708734512
479,Shoushi Li,授時暦,0.0,0.06702820211648941
622,Orientalism,inferior,0.0,0.0676691010594368
676,"Contrecœur led 500 men south from Fort Venango on April 5, 1754",40,0.0,0.06798823177814484
128,carbon cycle,plant health status,0.0,0.06842602789402008
553,Old Rhine,Oude Rijn,2.0,0.06867105513811111
113,Avogadro's law,the correct interpretation of water's composition,0.0,0.0703156515955925
673,Tanaghrisson,the Mingo,0.0,0.07037980854511261
685,Major General James Abercrombie,Lord Loudoun,0.0,0.07272124290466309
289,former King of Thebes,Oedipus,1.0,0.07309649139642715
635,the Monroe Doctrine,through policies,0.0,0.07436737418174744
91,Reciprocating piston,steam turbines,0.0,0.07499194145202637
534,1st century BC,Roman-era,0.0,0.07520348578691483
34,regional tourism groups,AAA Auto Clubs,0.0,0.0767805352807045
668,200 Troupes de la marine and 30 Indians,Céloron,0.0,0.07681214064359665
588,Edinburgh Pentlands,former party leader,0.0,0.07701899856328964
679,Albany Congress,the opening of hostilities,0.0,0.07754983007907867
524,The Electronic Frontier Foundation,"$150,000",0.0,0.07759157568216324
187,if they were non-discriminatory,"participate in economic life ""on a stable and continuous basis""",0.0,0.07800903171300888
293,Henry David Thoreau,Gandhi,0.0,0.0781545490026474
634,The British spirit of imperialism,Social Darwinism,0.0,0.07833701372146606
440,technological changes and globalization,decline of organized labor,0.0,0.07865694910287857
335,trespassing at a nuclear-missile installation,symbolic illegal protests,0.0,0.07879545539617538
549,Switzerland,Duisburg,0.0,0.0793885737657547
714,Galileo,Aristotle's,0.0,0.08012475818395615
684,Petitcodiac in 1755 and at Bloody Creek near Annapolis Royal in 1757,deportation of the French-speaking Acadian population from the area,0.0,0.08089452981948853
464,Robert Zimmer,Daniel Diermeier,0.0,0.0812874287366867
670,"very badly disposed towards the French, and are entirely devoted to the English",what way they could be brought back,0.0,0.081904835999012
82,Prussia,Great Elector Frederick William,0.0,0.08256798982620239
170,Following the Nice Treaty,2004,0.0,0.08296767622232437
655,Polonez,125p,0.0,0.08324360847473145
515,Christian Goldbach,mathematicians,0.0,0.0834888368844986
628,800 CE,in late antiquity,0.0,0.08385812491178513
302,Vice President Agnew,Marshall Cohen,0.0,0.0840233787894249
674,colonel of the Iroquois,He who does great things,0.0,0.08460589498281479
167,Treaties establishing the European Union,"primary law, secondary law and supplementary law",0.0,0.08500640094280243
88,Corliss,patent valve,0.0,0.08608637005090714
115,Air,a substance like wood gains overall weight in burning,0.0,0.08624155819416046
253,merchant ships.,Silk Road,0.0,0.08629608154296875
382,Working versions of 3D-printing building technology are already printing,2014,0.0,0.08724641799926758
86,Calvinist,Walloon,0.0,0.08757199347019196
639,World War I,creation of modern Balkan and Middle Eastern states,0.0,0.08853361010551453
629,Eastern Europe,1919–20,0.0,0.0886421799659729
663,territory east of the Mississippi to Great Britain,France,0.0,0.08877264708280563
157,5% production cut,"declared Japan a ""nonfriendly"" country",0.0,0.08943481743335724
141,mechanical ventilators,oxygen masks,0.0,0.08976541459560394
285,apartheid,Singing Revolution to bring independence to the Baltic countries,0.0,0.09105125069618225
469,David Bevington,John Mearsheimer and Robert Pape,0.0,0.09119313210248947
662,unwilling to risk large convoys to aid the limited forces it had in New France,significantly increased,0.0,0.09155865758657455
33,Imperial,1999,0.0,0.09197432547807693
275,patient care rounds drug product selection,interdisciplinary approach,0.0,0.09219657629728317
617,geographical societies in Europe,necessary for a state’s survival,0.0,0.0925336703658104
596,conspiracy,Westernizing Muslims,0.0,0.09284257888793945
468,Yuan T. Lee,Glenn T. Seaborg,0.0,0.093228779733181
25,United States,Los Angeles,1.0,0.09363147616386414
567,blueprint,the Convention,0.0,0.09403666108846664
218,"a mouth that can usually be closed by muscles; a pharynx (""throat""); a wider area in the center that acts as a stomach; and a system of internal canals.",the gastrodermis,1.0,0.09423471242189407
523,Fermat primes,Mersenne,0.0,0.09468777477741241
148,until their economic and political objectives were met,In response to American aid to Israel,0.0,0.09490536153316498
599,Algeria,Afghanistan,0.0,0.09504634886980057
418,rising levels of property income,downward pressure on wages,0.0,0.09516654908657074
205,phylum of animals that live in marine waters,comb jellies,1.0,0.09519486129283905
95,Advanced Steam,cogeneration processes,0.0,0.09521583467721939
659,primarily along the frontiers between New France and the British colonies,Virginia in the South to Nova Scotia in the North,0.0,0.09534350037574768
595,gradual,Islamic revolution,0.0,0.09566295146942139
320,must be publicly announced,civil disobedience,0.0,0.09631737321615219
37,1.3 million,San Diego,0.0,0.09757152199745178
