,answer1,answer2,label,berttrained
0,rotiert,"schwingt bei vertikaler Polarisation der elektrische Feldvektor zwischen oben und unten, bei horizontaler Polarisation zwischen links und rechts",0.0,0.23049265146255493
1,in Blautönen gehaltenen Außenwände,Blaues,1.0,0.5877379179000854
2,'Anorthotiko Komma Ergazomenou Laou'',Fortschrittspartei des werktätigen Volkes,2.0,0.05804603546857834
3,aus dem englischen,"von  ‚Geißel‘, ‚Seuche‘ und lat.  ‚töten‘",0.0,0.32742825150489807
4,Ramadan-Monat,sind üblicherweise an den Rändern der Koranexemplare markiert,0.0,0.317895770072937
5,"denn es ist eine beliebte Praxis, verteilt auf die dreißig Ramadan-Nächte, eine Chatma, also eine Komplettlesung des Korans, vorzunehmen",Sie finden vor allem in der Liturgie Verwendung und dienen als Maßeinheiten zur Festlegung von Gebetspensen,0.0,0.37556955218315125
6,an den Rändern der Koranexemplare markiert,Die Grenzen zwischen den einzelnen Dschuzʾ- und Hizb-Abschnitten befinden sich meistens mitten in einer Sure.,0.0,0.31365862488746643
7,bis etwa 1 MHz,niedriger,0.0,0.0657365694642067
8,Nährgebiet,Akkumulationsgebiet,2.0,0.45084643363952637
9,Zehrgebiet,Ablationsgebiet,2.0,0.4257916808128357
10,Funktion eines Prädikativums,fast nur im gehobenen Stil verwendet,0.0,0.27468469738960266
11,das lateinische Alphabet in Groß- und Kleinschreibung,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,0.14966034889221191
12,"An der Gletschersohle sowie den Flanken eines Gletschers kann das Eis oft am anstehenden Gestein festfrieren, wodurch hier keine Bewegung möglich ist.",Auf molekularer Ebene besteht Eis aus übereinanderliegenden Molekülschichten mit relativ schwachen Bindungskräften zwischen den einzelnen Schichten,0.0,0.4644119143486023
13,am Golf von Mexiko in der Golfküstenebene,Südküste,0.0,0.25329649448394775
14,Johads,Johad,2.0,0.7682996988296509
15,die alten traditionellen Methoden des Regenwassersammelns zu dokumentieren und Pilotprojekte aufzubauen,Die Menschen werden jetzt wieder verstärkt in die Wasserversorgung einbezogen,0.0,0.34777379035949707
16,Sheffield United,Brian Deane,0.0,0.16137880086898804
17,"USA, in Kanada und in Australien (hier nur umgangssprachlich)","in den USA vor allem zum American Football, in Kanada zum Canadian Football und in Australien zum Australian Football",1.0,0.6466575860977173
18,Baktrien,Afghanistan und Pakistan,0.0,0.11299578100442886
19,Die Anzahl der Einwohner wird in unterschiedlichen Quellen nicht einheitlich angegeben.,"Für das Jahr 2017 wird die Einwohnerzahl bei den Vereinten Nationen mit 5,1 Millionen, im CIA World Factbook mit 5,9 Millionen
und bei Statista mit 6,7 Millionen angegeben",1.0,0.2429976463317871
20,Im internationalen Vergleich ist die Versorgungsquote mit Verhütungsmitteln in Eritrea schlecht.,nur 7 % der verheirateten Frauen Zugang zu modernen Verhütungsmitteln,1.0,0.30639952421188354
