,answer1,answer2,label,berttrained
0,Nine,none,0.0,0.23489217460155487
1,Amma,chucky,0.0,0.09524893760681152
2,Amma,Camille Preaker,0.0,0.2501915395259857
3,Amma,Luke,0.0,0.14529798924922943
4,Alexandria Ocasio-Cortez,Kevin McCarthy,0.0,0.15950018167495728
5,Alexandria Ocasio-Cortez,29,0.0,0.09528856724500656
6,Alexandria Ocasio-Cortez,elise stefanik,1.0,0.3831893801689148
7,Alexandria Ocasio-Cortez,elise marie stefanik,1.0,0.3469507694244385
8,Raj Guru Gajaraj Mishra,Singha Durbar,0.0,0.3531668782234192
9,Raj Guru Gajaraj Mishra,Nepal,0.0,0.13662877678871155
10,Raj Guru Gajaraj Mishra,raj guru gajraj mishra,2.0,0.7360634803771973
11,Raj Guru Gajaraj Mishra,Chandra Sekher Upadhyaya,2.0,0.4649715721607208
12,53,eleven,0.0,0.19119058549404144
13,53,46,0.0,0.47716325521469116
14,Hawkeye,trick shot,0.0,0.10909650474786758
15,Hawkeye,Golden Archer,0.0,0.230752095580101
16,Hawkeye,Constantine Drakon,0.0,0.09991404414176941
17,Hawkeye,Thanos,0.0,0.13455943763256073
18,Hawkeye,Thor,0.0,0.24456369876861572
19,Hawkeye,Yondu,1.0,0.2177891582250595
20,53-member main roster,eleven,0.0,0.07953038811683655
21,53-member main roster,a maximum of 53,0.0,0.7512689828872681
22,53-member main roster,a maximum of eleven,0.0,0.13043072819709778
23,53-member main roster,11,0.0,0.09477850049734116
24,53-member main roster,53,2.0,0.731748104095459
25,oleic acid,monounsaturated fatty acids,0.0,0.4892295300960541
26,oleic acid,monounsaturated,0.0,0.18034659326076508
27,oleic acid,stearidonic acid,0.0,0.5952980518341064
28,oleic acid,alkenes,0.0,0.43301475048065186
29,oleic acid,monounsaturated fat,0.0,0.24655580520629883
30,oleic acid,unsaturated fat,2.0,0.22188253700733185
31,George M. Cohan,Lee Thomas Miller,0.0,0.16056202352046967
32,the caval opening,right atrium of the heart,0.0,0.18442967534065247
33,the caval opening,T12,0.0,0.11437857151031494
34,the caval opening,t8,2.0,0.11387553811073303
35,Trey MacDougal,evan handler,0.0,0.16139498353004456
36,Trey MacDougal,Kyle MacLachlan,2.0,0.46504729986190796
37,not more than four steps,five-second,0.0,0.13694866001605988
38,not more than four steps,80 minutes,0.0,0.07874413579702377
39,not more than four steps,three years,0.0,0.24804876744747162
40,not more than four steps,five seconds,0.0,0.14139239490032196
41,not more than four steps,four steps,2.0,0.7447333931922913
42,Microprocessor without Interlocked Pipelined Stages,instructions per second,0.0,0.23341883718967438
43,Microprocessor without Interlocked Pipelined Stages,instruction execution speed,0.0,0.28060320019721985
44,Microprocessor without Interlocked Pipelined Stages,MIPS architecture,0.0,0.2198973000049591
45,Microprocessor without Interlocked Pipelined Stages,microprocessor without interlocked pipeline stages,2.0,0.9092610478401184
46,Microprocessor without Interlocked Pipelined Stages,microprocessor,2.0,0.6176843643188477
47,Daniel Mar,tyler florence,0.0,0.11276327818632126
48,Daniel Mar,Nick Slater,0.0,0.16375240683555603
49,Daniel Mar,Michelle Tribble,0.0,0.1937403827905655
50,Daniel Mar,lvaro lvarez,0.0,0.12042660266160965
51,Daniel Mar,Hazell Mckenzie,0.0,0.0908498764038086
52,Daniel Mar,Vivica,0.0,0.11745382100343704
53,Daniel Radcliffe,michael gambon,0.0,0.19140270352363586
54,Daniel Radcliffe,alan rickman,0.0,0.280658096075058
55,Daniel Radcliffe,Matthew Broderick,0.0,0.20897330343723297
56,Daniel Radcliffe,Daniel Jacob Radcliffe,2.0,0.950179398059845
57,8,furious 7,0.0,0.3885974586009979
58,8,The Fast and the Furious,0.0,0.12237784266471863
59,8,seven,1.0,0.4980398416519165
60,8,10,1.0,0.47684523463249207
61,8,6,1.0,0.4949466288089752
62,8,7,1.0,0.5968295931816101
63,October 2018,"august 22, 2017",0.0,0.2824919819831848
64,October 2018,2018,0.0,0.773870050907135
65,October 2018,"March 14, 2017",0.0,0.1535763442516327
66,"December 4, 2018","October 8, 1998",0.0,0.3377441465854645
67,"December 4, 2018","March 27, 2018",0.0,0.3581910729408264
68,"December 4, 2018","January 27, 2018",0.0,0.2963823080062866
69,"December 4, 2018",2019,0.0,0.3222581744194031
70,"December 4, 2018","may 22, 2018",0.0,0.33362483978271484
71,"December 4, 2018","October 10, 2017",0.0,0.21611982583999634
72,"December 4, 2018","April 10, 2019",0.0,0.35463225841522217
73,John F. Kennedy,former President John F. Kennedy,2.0,0.925979495048523
