,answer1,answer2,label,f1,sas
39,Thayendanegea,Joseph Brant,2.0,0.0,0.027941860258579254
41,der Verurteilte wird kurz nach dem Prozess bei einem Fluchtversuch erschossen,Am Ende des Romans begleitet Scout ihren Nachbarn Boo wieder zurück in sein Haus,0.0,0.0,0.028582686558365822
2,'Anorthotiko Komma Ergazomenou Laou'',Fortschrittspartei des werktätigen Volkes,2.0,0.0,0.04175460711121559
168,Khoren Gevor,Europameister,0.0,0.0,0.044472821056842804
5,"denn es ist eine beliebte Praxis, verteilt auf die dreißig Ramadan-Nächte, eine Chatma, also eine Komplettlesung des Korans, vorzunehmen",Sie finden vor allem in der Liturgie Verwendung und dienen als Maßeinheiten zur Festlegung von Gebetspensen,0.0,0.0,0.04587509483098984
93,16. Dezember 2015,1982,0.0,0.0,0.04707514867186546
11,das lateinische Alphabet in Groß- und Kleinschreibung,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,0.0,0.05496787652373314
177,18. September 1988,Bis 2010,0.0,0.0,0.059349000453948975
131,Ordre de la Libération,"„Fluctuat nec mergitur“ (etwa: „Sie verändert sich, geht aber nicht unter“ oder „Sie schwankt, aber sie geht nicht unter“)",0.0,0.0,0.06358232349157333
73,einer ca. 200.000 Jahre alten Fundstelle aus der Zeit des Neandertalers an einem ehemaligen Seeufer bei Frankleben in Sachsen-Anhalt,Hinweis auf das Gerben von Tierhäuten,0.0,0.0,0.06453832983970642
46,Generell bilden Regelungen zum rechtlichen Status des Wildes und zum Inhaber des subjektiven Jagdrechts,Frankfurter Reichsverfassung vom 28. März 1849,0.0,0.0,0.06489163637161255
172,Art Zeitungsverlag,in den Comics über die Marvel-Superhelden,0.0,0.0,0.06500610709190369
27,„Last Order“,eine Glocke,0.0,0.0,0.06798306852579117
16,Sheffield United,Brian Deane,0.0,0.0,0.07087358087301254
217,2009,am 17. Juni 2005,0.0,0.0,0.07616853713989258
210,"die Spanier, Savoyer und Österreicher",Giuseppe Garibaldi,0.0,0.0,0.0794304758310318
183,elektrischen Stuhls,Erhängen,0.0,0.0,0.08838300406932831
202,Die beiden Staaten pflegen deshalb auch derzeit keine diplomatischen Beziehungen und befinden sich heute noch im Kriegszustand.,belastet,1.0,0.0,0.08840721845626831
49,die NATO,syrischen Geheimdienst,0.0,0.0,0.08953884243965149
118,Hayek erweiterte seine Sozialismuskritik um eine Theorie der „kulturellen Evolution“ und des menschlichen Zusammenlebens in arbeitsteiligen Gesellschaften,wesentlich beeinflusst,,0.0,0.09484731405973434
60,"die Hauptgruppen sind: die Einsicht in die Lehre, ihre ethischen Grundlagen und die Schwerpunkte des geistigen Trainings (Meditation/Achtsamkeit)",dreigeteilt,1.0,0.0,0.09509732574224472
10,Funktion eines Prädikativums,fast nur im gehobenen Stil verwendet,0.0,0.0,0.09990375488996506
64,51. Bundesstaat,Democrats Abroad,0.0,0.0,0.100226491689682
