,answer1,answer2,label,berttrained,f1,sas,bertvanilla,bi_encoder,bleu,rouge_L,meteor,new_berttrained,new_bi_encoder
0,rotiert,"schwingt bei vertikaler Polarisation der elektrische Feldvektor zwischen oben und unten, bei horizontaler Polarisation zwischen links und rechts",0.0,0.2304926067590713,0.0,0.2232432514429092,0.384092628955841,0.1742291301488876,0.0,0.0,0.0,0.20104161,0.21061579883098602
1,in Blautönen gehaltenen Außenwände,Blaues,1.0,0.5877377390861511,0.0,0.5069923996925354,0.5883035659790039,0.5799958109855652,0.0,0.0,0.0,0.49656782,0.4598206579685211
2,'Anorthotiko Komma Ergazomenou Laou'',Fortschrittspartei des werktätigen Volkes,2.0,0.0580459721386432,0.0,0.0417545698583126,0.3491891324520111,-0.040064875036478,0.0,0.0,0.0,0.19947831,0.15382711589336395
3,aus dem englischen,"von  ‚Geißel‘, ‚Seuche‘ und lat.  ‚töten‘",0.0,0.3274281919002533,0.0,0.1279093623161316,0.4565880000591278,0.2066212743520736,0.0,0.0,0.0,0.22474189,0.16875384747982025
4,Ramadan-Monat,sind üblicherweise an den Rändern der Koranexemplare markiert,0.0,0.3178958296775818,0.0,0.1237971857190132,0.4626064002513886,0.2918339669704437,0.0,0.0,0.0,0.28914803,0.28478342294692993
5,"denn es ist eine beliebte Praxis, verteilt auf die dreißig Ramadan-Nächte, eine Chatma, also eine Komplettlesung des Korans, vorzunehmen",Sie finden vor allem in der Liturgie Verwendung und dienen als Maßeinheiten zur Festlegung von Gebetspensen,0.0,0.3755695223808288,0.0,0.0458751134574413,0.471070945262909,0.3909680247306824,0.0,0.0,0.0,0.31120193,0.30315470695495605
6,an den Rändern der Koranexemplare markiert,Die Grenzen zwischen den einzelnen Dschuzʾ- und Hizb-Abschnitten befinden sich meistens mitten in einer Sure.,0.0,0.3136585056781769,0.1,0.4367769062519073,0.5001361370086671,0.2731170654296875,0.0,0.0869565217391304,0.0333333333333333,0.25892836,0.21294845640659332
7,bis etwa 1 MHz,niedriger,0.0,0.0657366439700126,0.0,0.2186568677425384,0.345710963010788,-0.0023809550330042,0.0,0.0,0.0,0.08650958,0.06800992041826248
8,Nährgebiet,Akkumulationsgebiet,2.0,0.450846403837204,0.0,0.265578955411911,0.3791106939315796,0.4822392463684082,0.0,0.0,0.0,0.33335304,0.2883245348930359
9,Zehrgebiet,Ablationsgebiet,2.0,0.4257915914058685,0.0,0.2463489025831222,0.5017355680465698,0.418175220489502,0.0,0.0,0.0,0.41378435,0.3974258005619049
10,Funktion eines Prädikativums,fast nur im gehobenen Stil verwendet,0.0,0.2746847867965698,0.0,0.0999037995934486,0.383276641368866,0.2022681683301925,0.0,0.0,0.0,0.09088803,0.03763854503631592
11,das lateinische Alphabet in Groß- und Kleinschreibung,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,0.1496603190898895,0.0,0.0549679100513458,0.349416971206665,0.1012589856982231,0.0,0.0,0.0,0.1168623,0.07511720061302185
