,answer1,answer2,label,f1,sas
3122,the U.S. Senate,the Greensboro Grasshoppers,0.0,0.0,0.008796179667115211
650,powerful local supporter,Lord of the Manor,1.0,0.0,0.008805425837635994
827,in regions of new growth,parenchyma,0.0,0.0,0.008815741166472435
3120,the U.S. Senate,Vice President George Clinton,0.0,0.0,0.008821592666208744
1383,a contest,the down payment,0.0,0.0,0.008822080679237843
828,in regions of new growth,nervous system,0.0,0.0,0.008824603632092476
1293,main antagonist of the story,a disembodied brain,2.0,0.0,0.008850357495248318
2725,modified for faster speed,Mercury,0.0,0.0,0.008855772204697132
1092,the father of the radio,a music industry executive,0.0,0.0,0.00889359600841999
829,in regions of new growth,soft parts,2.0,0.0,0.00891054142266512
1378,a contest,accident,0.0,0.0,0.008936502039432526
415,the steering mechanism,loading bay,0.0,0.0,0.008942166343331337
2422,in the season finale,my brother's keeper,0.0,0.0,0.008946575224399567
2337,warm ocean waters,differences in the atmospheric pressure,0.0,0.0,0.00896717980504036
3125,the U.S. Senate,Andrew Jackson,2.0,0.0,0.008972241543233395
837,the senate,oligarchy,0.0,0.0,0.008978217840194702
292,a state run mental hospital,"Trenton, New Jersey",0.0,0.0,0.008992216549813747
2425,in the season finale,The Hybrid,0.0,0.0,0.00899400096386671
830,in regions of new growth,cortex,2.0,0.0,0.008995204232633114
1382,a contest,Red Ryder gun,0.0,0.0,0.008998328819870949
2293,self-perfection,Message in a Bottle,0.0,0.0,0.008998499251902103
1967,novation,Delegation,0.0,0.0,0.009003194980323315
113,No taxation without representation,Industrial Revolution,0.0,0.0,0.009007846005260944
3433,production–possibility frontier,marginal utility,0.0,0.0,0.00901695154607296
2267,"""support our troops""",the official color of the armor branch,0.0,0.0,0.00902056135237217
268,the spirit of perverseness,nervousness,0.0,0.0,0.009023400023579597
553,size,Entamoeba,0.0,0.0,0.009026138111948967
2257,mutations in the LRP2 gene,count dracula,0.0,0.0,0.009027758613228798
1865,2256–2257,orbit around Saturn's moon Iapetus,0.0,0.0,0.00903160311281681
1630,Jury duty,responsibility to protect,1.0,0.0,0.009037451818585396
3342,Carousel.,Into the Woods,0.0,0.0,0.009042838588356972
3274,through the maternal line,Cherokee Nation,0.0,0.0,0.009045838378369808
1262,Racial tensions,economic downturns,1.0,0.0,0.009045890532433987
1086,"March 25, 2018",Piccolo Jr. Saga,0.0,0.0,0.009052731096744537
3104,Lego,Bridgestone,0.0,0.0,0.009057086892426014
3331,volcanic,a normally inaccessible mini-game,0.0,0.0,0.009059663861989975
1377,a contest,santa line,0.0,0.0,0.009061736054718494
269,the spirit of perverseness,Necromancer,0.0,0.0,0.009062027558684349
1634,Jury duty,Voting for federal office,1.0,0.0,0.009062626399099827
343,the Middle East,desert,1.0,0.0,0.009063178673386574
1410,religion,freedom of the press,2.0,0.0,0.00906517542898655
2270,"""support our troops""",thirteen British colonies,0.0,0.0,0.00907363835722208
2588,F. Scott Fitzgerald,African and European music,0.0,0.0,0.009073947556316853
3185,up to 16Â megapixels,over 1. 2 billion,0.0,0.0,0.009074856527149677
213,shoulder blade,scapula,2.0,0.0,0.009080342017114162
2864,Dr. Abdul Kalam,prime minister indira gandhi,1.0,0.0,0.009086793288588524
1074,the G.I. Generation,Tom Brokaw,0.0,0.0,0.009088433347642422
3434,production–possibility frontier,7.6%,0.0,0.0,0.009088441729545593
3189,on the Zambezi River,Uganda,0.0,0.0,0.009095956571400166
3070,The Living Daylights,Quantum of Solace,0.0,0.0,0.00909598171710968
1183,Africa,Topher Grace,0.0,0.0,0.009100740775465965
1772,German folktales,peasants,0.0,0.0,0.00910196639597416
337,the Middle East,the Atlas Mountains,0.0,0.0,0.009103071875870228
2857,Nitrate,sanitary landfills,1.0,0.0,0.009110248647630215
1571,thirteenth,reaping,0.0,0.0,0.009115492925047874
552,size,Chemotaxis,0.0,0.0,0.009116152301430702
3009,The Crocodile,Mr. Punch,0.0,0.0,0.009119387716054916
3069,The Living Daylights,Dr. No,0.0,0.0,0.009119749069213867
1546,John Rzeznik,goo goo dolls,1.0,0.0,0.009121055714786053
3124,the U.S. Senate,President Andrew Jackson,2.0,0.0,0.009121459908783436
3105,Lego,Toyota,0.0,0.0,0.009127008728682995
3361,Dwight Yoakam,queen,1.0,0.0,0.00913057941943407
1243,a typewriter ribbon,paper bag,0.0,0.0,0.009133048355579376
3461,minimum wage laws,electrical equipment,1.0,0.0,0.009137238375842571
1758,the tensor fasciae latae muscle,the bottom sirloin sub primal cut,2.0,0.0,0.00913725234568119
2616,Eric Swaffer,Vichai Srivaddhanaprabha,0.0,0.0,0.009137891232967377
2587,F. Scott Fitzgerald,the roaring twenties,0.0,0.0,0.009139367379248142
2619,3m-5m,ileocolic orifice,0.0,0.0,0.009141496382653713
307,the company Faro Automated Solutions,Isaac Asimov,0.0,0.0,0.009142788127064705
3427,control access to a resource,to increase transaction security,1.0,0.25,0.009143315255641937
948,punishment for a crime,psychological coercion,0.0,0.0,0.009144079871475697
1458,Klondike Kat,The J.M. Smucker Company,0.0,0.0,0.009145678952336311
709,"""Counterfeit""",Ilse's Notebook,0.0,0.0,0.00914809387177229
1712,radiation,ozone layer,2.0,0.0,0.009149841032922268
413,the steering mechanism,the bed,0.0,0.0,0.009150450117886066
1711,radiation,ozone,1.0,0.0,0.009152473881840706
2371,Warren G. Harding,pewdiepie,0.0,0.0,0.00915489997714758
386,the spirit world,Rosie Perez,0.0,0.0,0.009158802218735218
322,the legislature,the proprietor,0.0,0.0,0.009161468595266342
306,the company Faro Automated Solutions,guerrilla games,0.0,0.0,0.009161831811070442
1182,Africa,Donna,0.0,0.0,0.009162611328065395
3273,through the maternal line,Bible,0.0,0.0,0.009165650233626366
1319,increased metabolism,secrete,1.0,0.0,0.009168682619929314
2860,Nitrate,fossil fuels,1.0,0.0,0.009169324301183224
1759,the tensor fasciae latae muscle,the bottom sirloin subprimal cut,2.0,0.0,0.00917249545454979
