,Unnamed: 0,answer1,answer2,label,berttrained,bertvanilla,sas,f1,bi_encoder,bleu,rouge_L,meteor,new_bi_encoder,new_berttrained
0,0,Nine,none,0.0,0.23489214,0.41346768,0.038783975,0.0,0.2605519294738769,0.0,0.0,0.0,0.1045319586992263,0.12358368
1,1,Amma,chucky,0.0,0.09524898,0.24111386,0.009493888,0.0,0.1280857324600219,0.0,0.0,0.0,-0.0206701681017875,0.0
2,2,Amma,Camille Preaker,0.0,0.2501916,0.21941876,0.009733963,0.0,0.2472983002662658,0.0,0.0,0.0,0.1243916824460029,0.12948869
3,3,Amma,Luke,0.0,0.145298,0.22588827,0.00956214,0.0,0.2079925835132599,0.0,0.0,0.0,-0.0336611717939376,0.0
4,4,Alexandria Ocasio-Cortez,Kevin McCarthy,0.0,0.15950021,0.223511,0.00964169,0.0,0.1085906475782394,0.0,0.0,0.0,-0.055628303438425,0.019421095
5,5,Alexandria Ocasio-Cortez,29,0.0,0.09528861,0.23423934,0.013493273,0.0,0.0729081034660339,0.0,0.0,0.0,-0.070401020348072,0.0
6,6,Alexandria Ocasio-Cortez,elise stefanik,1.0,0.38318935,0.22637744,0.009645105,0.0,0.3739796876907348,0.0,0.0,0.0,0.031737383455038,0.08363565
7,7,Alexandria Ocasio-Cortez,elise marie stefanik,1.0,0.34695062,0.22644961,0.009481332,0.0,0.331827700138092,0.0,0.0,0.0,0.0121561968699097,0.073678754
8,8,Raj Guru Gajaraj Mishra,Singha Durbar,0.0,0.35316667,0.3137847,0.009501119,0.0,0.387954443693161,0.0,0.0,0.0,0.4109702110290527,0.35138676
9,9,Raj Guru Gajaraj Mishra,Nepal,0.0,0.13662873,0.25668463,0.009666372,0.0,0.1228720322251319,0.0,0.0,0.0,0.1505078673362732,0.14340617
10,10,Raj Guru Gajaraj Mishra,raj guru gajraj mishra,2.0,0.7360637,0.8412197,0.9709825,0.75,0.7303556203842163,0.0,0.75,0.6388888888888888,0.9374555945396424,0.9081917
11,11,Raj Guru Gajaraj Mishra,Chandra Sekher Upadhyaya,2.0,0.46497154,0.2963711,0.010337378,0.0,0.5194005966186523,0.0,0.0,0.0,0.4633791446685791,0.40253225
12,12,53,eleven,0.0,0.1911905,0.49023157,0.011095057,0.0,0.2247347980737686,0.0,0.0,0.0,0.0610812939703464,0.085352704
13,13,53,46,0.0,0.47716314,0.84245646,0.1121629,0.0,0.5426694750785828,0.0,0.0,0.0,0.4248448312282562,0.40283313
14,14,"October 19, 2018",2018,2.0,0.5823583,0.65687627,0.49847367,0.5,0.5619446039199829,0.0,0.5,0.3846153846153847,0.5901079177856445,0.6265981
15,15,Hawkeye,trick shot,0.0,0.10909646,0.24618159,0.009465466,0.0,0.1217010170221328,0.0,0.0,0.0,0.0593729168176651,0.0623522
16,16,Hawkeye,Golden Archer,0.0,0.2307522,0.2808844,0.009611105,0.0,0.2305116355419159,0.0,0.0,0.0,-0.0447735637426376,0.011773466
17,17,Hawkeye,Constantine Drakon,0.0,0.099913694,0.27367634,0.009869934,0.0,0.0657960250973701,0.0,0.0,0.0,-0.1159282848238945,0.0
18,18,Hawkeye,Thanos,0.0,0.13455942,0.2641453,0.009433696,0.0,0.156579241156578,0.0,0.0,0.0,0.0354320332407951,0.057519857
19,19,Hawkeye,Thor,0.0,0.24456365,0.24692784,0.009650272,0.0,0.2624423205852508,0.0,0.0,0.0,0.0171019956469535,0.04181337
20,20,Hawkeye,Yondu,1.0,0.21778914,0.22591488,0.009783183,0.0,0.2594456970691681,0.0,0.0,0.0,0.116830788552761,0.11785854
21,21,53-member main roster,eleven,0.0,0.07953042,0.3208289,0.15548854,0.0,0.0667102262377739,0.0,0.0,0.0,0.0197031460702419,0.050889406
22,22,53-member main roster,a maximum of 53,2.0,0.75126874,0.42293137,0.7806001,0.0,0.7767870426177979,0.0,0.25,0.0,0.6611243486404419,0.64299375
23,23,53-member main roster,a maximum of eleven,0.0,0.13043065,0.30850515,0.22977501,0.0,0.0976219624280929,0.0,0.0,0.0,0.1187745258212089,0.1416865
24,24,53-member main roster,11,0.0,0.09477853,0.36795607,0.039020613,0.0,0.0583315640687942,0.0,0.0,0.0,0.0135901682078838,0.061329402
25,25,53-member main roster,53,2.0,0.73174804,0.5138147,0.79012465,0.0,0.6881721615791321,0.0,0.4,0.0,0.5766369104385376,0.6304185
26,26,oleic acid,monounsaturated fatty acids,0.0,0.48922962,0.38594636,0.23629685,0.0,0.4901900589466095,0.0,0.0,0.1724137931034482,0.4375067949295044,0.4373716
27,27,oleic acid,monounsaturated,0.0,0.18034679,0.23508142,0.057393555,0.0,0.1827908605337143,0.0,0.0,0.0,0.043349377810955,0.08353102
28,28,oleic acid,stearidonic acid,0.0,0.5952981,0.6423119,0.36005977,0.5,0.6077595949172974,0.0,0.5,0.25,0.7068693041801453,0.6779335
29,29,oleic acid,alkenes,0.0,0.43301478,0.24141873,0.043410458,0.0,0.4692025780677795,0.0,0.0,0.0,0.0114706344902515,0.08570611
30,30,oleic acid,monounsaturated fat,0.0,0.24655598,0.2635131,0.011742874,0.0,0.2534085214138031,0.0,0.0,0.0,0.1032101586461067,0.12868784
31,31,oleic acid,unsaturated fat,2.0,0.22188272,0.2579719,0.01382338,0.0,0.2351544499397277,0.0,0.0,0.0,0.148870050907135,0.15223491
32,32,George M. Cohan,Lee Thomas Miller,0.0,0.16056217,0.30305636,0.012569184,0.0,0.165396511554718,0.0,0.0,0.0,0.0489940866827964,0.077063814
33,33,the caval opening,right atrium of the heart,0.0,0.18442972,0.39023447,0.0115364175,0.0,0.1615022420883178,0.0,0.25,0.1041666666666666,0.0427007153630256,0.08020635
34,34,the caval opening,T12,0.0,0.11437859,0.33579504,0.009754253,0.0,0.1154199913144111,0.0,0.0,0.0,0.0151037853211164,0.036158103
35,35,the caval opening,t8,2.0,0.11387553,0.32592386,0.011061493,0.0,0.0997562333941459,0.0,0.0,0.0,0.0678106173872947,0.10587514
36,36,Trey MacDougal,evan handler,0.0,0.1613948,0.23240091,0.009337078,0.0,0.1396989822387695,0.0,0.0,0.0,0.020644512027502,0.064417474
37,37,Trey MacDougal,Kyle MacLachlan,2.0,0.4650471,0.39314088,0.075174496,0.0,0.4544111490249634,0.0,0.0,0.0,0.2579652965068817,0.30786878
38,38,not more than four steps,five-second,0.0,0.13694867,0.3919777,0.28121772,0.0,0.1202442646026611,0.0,0.0,0.0,0.1487745344638824,0.15956144
39,39,not more than four steps,80 minutes,0.0,0.078744225,0.31575537,0.009564683,0.0,0.0627580657601356,0.0,0.0,0.0,0.0325172767043113,0.057600036
40,40,not more than four steps,three years,0.0,0.24804874,0.44533673,0.009538132,0.0,0.2664027512073517,0.0,0.0,0.0,0.2388683259487152,0.22268705
41,41,not more than four steps,five seconds,0.0,0.14139232,0.45214817,0.1451581,0.0,0.1292275488376617,0.0,0.0,0.0,0.1573831737041473,0.16594702
42,42,not more than four steps,four steps,2.0,0.7447334,0.68867916,0.90439695,0.5714285714285715,0.7170249223709106,0.0,0.5714285714285715,0.8152173913043478,0.7633761167526245,0.7796983
43,43,Microprocessor without Interlocked Pipelined Stages,instructions per second,0.0,0.2334189,0.26119485,0.009424063,0.0,0.2178139090538025,0.0,0.0,0.0,0.2199773490428924,0.22968653
44,44,Microprocessor without Interlocked Pipelined Stages,instruction execution speed,0.0,0.28060323,0.30965817,0.013494385,0.0,0.2836107611656189,0.0,0.0,0.0,0.2959635257720947,0.2885181
