,answer1,answer2,label,f1,sas
279,dispensing substandard products,potentially dangerous,0.0,0.0,0.00863196887075901
253,merchant ships.,Silk Road,0.0,0.0,0.008684791624546051
283,exaggerating their seriousness,avoiding the unnecessary use of medication that may have side-effects,0.0,0.0,0.008707581087946892
137,Decompression sickness,"bubbles of inert gas, mostly nitrogen and helium, forming in their blood",2.0,0.0,0.008929030038416386
610,ownership of private industries,technological superiority,0.0,0.0,0.008931600488722324
346,coercion,make it more difficult for a system to function,0.0,0.0,0.008959589526057243
141,mechanical ventilators,oxygen masks,0.0,0.0,0.008978009223937988
520,only three divisions,only for those m that are prime,0.0,0.2,0.008982100524008274
621,inferior,irrational and backward,0.0,0.0,0.008982308208942413
151,distribution and price disruptions,reduced productivity,0.0,0.0,0.008983544073998928
153,encourage investment,"The system limited the price of ""old oil""",0.0,0.0,0.008993321098387241
348,padlocking the gates,"illegal boycotts, refusals to pay taxes, draft dodging, distributed denial-of-service attacks, and sit-ins",0.0,0.0,0.008999545127153397
327,"cultural traditions, social customs, religious beliefs",revolutionary civil disobedience,0.0,0.0,0.009016094729304314
83,Parris Island,Southeastern U.S.,1.0,0.0,0.009016563184559345
340,broadcasting,engaging in the forbidden speech,0.0,0.0,0.009034902788698673
622,Orientalism,inferior,0.0,0.0,0.009039121679961681
109,heat or a spark,oxygen,0.0,0.0,0.009039172902703285
704,vector quantities,dependent upon how strong,0.0,0.0,0.009048856794834137
341,Threatening government officials,forbidden speech,1.0,0.0,0.009052380919456482
440,technological changes and globalization,decline of organized labor,0.0,0.0,0.009067278355360031
451,redistributive taxation,fertility,0.0,0.0,0.00907393079251051
256,from the tooth sockets in human skeletons,"mass graves in northern, central and southern Europe",0.0,0.14285714285714288,0.0090784328058362
716,kinetic friction,object started with a non-zero velocity,0.0,0.0,0.009082311764359474
634,The British spirit of imperialism,Social Darwinism,0.0,0.0,0.009104650467634201
591,a historical fluke,political Islam,0.0,0.0,0.009108414873480797
499,"""business as usual"" (BAU)",enhanced greenhouse effect,0.0,0.0,0.009110309183597565
13,mathematical models,branching,0.0,0.0,0.009110498242080212
590,its supporters,Scholars and observers,0.0,0.0,0.009114829823374748
155,"last week of February 1974,",20%,0.0,0.0,0.009116070345044136
124,compressing and cooling,cascade method,0.0,0.0,0.009120347909629345
335,trespassing at a nuclear-missile installation,symbolic illegal protests,0.0,0.0,0.009129967540502548
205,phylum of animals that live in marine waters,comb jellies,1.0,0.0,0.009153221733868122
301,"code-word describing the activities of muggers, arsonists, draft evaders",utterly debased,0.0,0.0,0.009160147979855537
271,the pre-Heian Imperial court,Taihō Code,0.0,0.0,0.009162433445453644
157,5% production cut,"declared Japan a ""nonfriendly"" country",0.0,0.0,0.009168872609734535
48,monthly fee,SkyHD box,0.0,0.0,0.00917487870901823
585,issues under their jurisdiction,the First Minister,0.0,0.0,0.009178225882351398
661,expulsion of the Acadians,deportation,0.0,0.0,0.009179926477372646
295,unjust forms of authority,Peterloo massacre,0.0,0.0,0.009191365912556648
308,refuse to enforce a decision,constitutional impasse,0.0,0.0,0.009193102829158306
140,Acute oxygen toxicity,seizures,0.0,0.0,0.009194128215312958
268,provide better absolute bounds on the timing and rates of deposition,gain information about past climate,0.0,0.0,0.009201550856232643
603,ended the true Islamic system,working through Turkish modernist Mustafa Kemal Atatürk,0.0,0.0,0.009201793931424618
715,behind the foot of the mast,straight down,0.0,0.0,0.009209292009472847
639,World War I,creation of modern Balkan and Middle Eastern states,0.0,0.0,0.009211980737745762
502,"""Variations of Snow and Ice in the past and at present on a Global and Regional Scale""",the IPCC from the WWF report,0.0,0.0,0.009219521656632423
278,another customer might overhear about the drugs that they take,homebound,0.0,0.0,0.00922455359250307
681,Shirley and Johnson.,British,0.0,0.0,0.009235098026692867
461,after their second year,early 1950s,0.0,0.0,0.009237213991582394
669,"British merchants or fur-traders, Céloron informed them of the French claims on the territory and told them to leave.",buried lead plates,0.0,0.0,0.009237624704837799
540,Lake Constance,West by the Alter Rhein,0.0,0.0,0.009257677011191845
457,various academic disciplines,"the world's first man-made, self-sustaining nuclear reaction",0.0,0.0,0.009258036501705647
158,USSR's invasion,Afghanistan,0.0,0.0,0.009258490987122059
703,standard measurement scale,precise operational definitions,0.0,0.0,0.00926467776298523
225,cling to and creep on surfaces,"as a muscular ""foot""",0.0,0.0,0.009265102446079254
267,pressure physical experiments,fluid inclusion data,0.0,0.0,0.009269134141504765
224,Cestum veneris,up to 1.5 meters (4.9 ft) long,0.0,0.0,0.009270912036299706
289,former King of Thebes,Oedipus,1.0,0.0,0.009278382174670696
76,tourism,big,0.0,0.0,0.009291401132941246
261,crust,lithosphere,0.0,0.0,0.0092952074483037
435,savings and investment,"education,",0.0,0.0,0.009301207028329372
80,economic separation,worked as weavers,0.0,0.0,0.009301339276134968
599,Algeria,Afghanistan,0.0,0.0,0.009302218444645405
674,colonel of the Iroquois,He who does great things,0.0,0.0,0.009306863881647587
685,Major General James Abercrombie,Lord Loudoun,0.0,0.0,0.009310263209044933
519,the Rhind papyrus,Egyptian fraction,0.0,0.0,0.00931355357170105
734,pressure terms,matrix diagonals of the tensor),0.0,0.0,0.009320428594946861
696,friction,gravity,0.0,0.0,0.009324127808213234
287,the British,communist governments,0.0,0.0,0.00932837463915348
688,poor harvest,allegedly corrupt machinations of François Bigot,0.0,0.0,0.009330282919108868
374,avoiding attribution,viewed as not being a civil disobedient,0.0,0.0,0.009331203997135162
729,residual of the force,nucleons in atomic nuclei,0.0,0.0,0.009334070608019829
679,Albany Congress,the opening of hostilities,0.0,0.0,0.009335273876786232
596,conspiracy,Westernizing Muslims,0.0,0.0,0.009335467591881752
128,carbon cycle,plant health status,0.0,0.0,0.009336874820291996
50,Sky+,PVR,0.0,0.0,0.009342786855995655
61,Sky TV bills,claimants,0.0,0.0,0.009350513108074665
376,incapacitation,achieving crime control,0.0,0.0,0.009352616034448147
641,12th/13th-century nobleman,shortened form of the masculine name of Slavic origin Warcisław,0.0,0.0,0.009358312003314495
441,less willing to travel or relocate,women not taking jobs due to marriage or pregnancy,0.0,0.26666666666666666,0.00935840979218483
285,apartheid,Singing Revolution to bring independence to the Baltic countries,0.0,0.0,0.009372570551931858
438,gender inequality in education,low economic growth,0.0,0.0,0.009376990608870983
299,utterly debased,everything from bringing a test-case in the federal courts to taking aim at a federal official,0.0,0.0,0.009384372271597385
474,Yangzi River basin,the Song dynasty,0.0,0.0,0.009384985081851482
96,pollution,Advanced Steam movement,0.0,0.0,0.009388660080730915
386,expulsion,offer a higher quality of education,0.0,0.0,0.009395084343850613
363,defiant speech,allocution,2.0,0.0,0.009397613815963268
707,respective lines of application,their effects on the motion of the body,0.0,0.2,0.0094082560390234
40,Hospitality Business/Financial Centre,Downtown Riverside,0.0,0.0,0.009409531019628048
303,impossible,a maze of semantical problems and grammatical niceties,0.0,0.0,0.009414350613951683
78,the southern and central parts of France,about one-eighth,0.0,0.0,0.009415853768587112
543,Rheinbrech,Upper Lake,0.0,0.0,0.009415996260941029
544,Rheinbrech,Upper Lake,0.0,0.0,0.009415996260941029
632,pseudo-sciences,British Empire,0.0,0.0,0.009416783228516579
606,military force,colonization,1.0,0.0,0.009434115141630173
361,accept jail penitently,is to switch suddenly to a spirit of subservience,0.0,0.0,0.009435674175620079
717,Schrödinger,Newtonian equations,0.0,0.0,0.009437707252800465
664,much larger conflict between France and Great Britain,in King George's reign,0.0,0.0,0.009438942186534405
215,diploblastic,ctenophores,0.0,0.0,0.009440002962946892
686,Major General Louis-Joseph de Montcalm,Lord Loudoun,0.0,0.0,0.009444779716432095
62,a man's presence,mother is wrongly claiming to be living alone,0.0,0.0,0.009448939003050327
689,Loudoun,Duke of Cumberland,0.0,0.0,0.009450126439332962
560,5th century,Migration period,0.0,0.0,0.009451661258935928
148,until their economic and political objectives were met,In response to American aid to Israel,0.0,0.0,0.009455304592847824
694,impetus,gravity,0.0,0.0,0.009460139088332653
702,magnitude,action-reaction,0.0,0.0,0.00946086272597313
