,answer1,answer2,label,sas,f1,berttrained,bertvanilla,bi_encoder,bleu,rouge_L,meteor
0,Seine,Epte,0.0,0.0098584862425923,0.0,0.3779272437095642,0.2485637813806533,0.4230275750160217,0.0,0.0,0.0
1,Norman mercenary,an Italo-Norman named Raoul,1.0,0.3497010469436645,0.0,0.4259698092937469,0.4607194364070892,0.4396501183509826,0.0,0.2857142857142857,0.0
2,1018,1064,0.0,0.1926071345806121,0.0,0.4300167560577392,0.7156524658203125,0.4717662334442138,0.0,0.0,0.0
3,Isaac Komnenos,Isaac,1.0,0.7472150921821594,0.6666666666666666,0.6090628504753113,0.5054860115051271,0.5643110275268555,0.0,0.6666666666666666,0.4545454545454545
4,dukes,the dukes,2.0,0.8984519839286804,1.0,0.9590107202529908,0.8442234396934509,0.9666312336921692,0.0,0.6666666666666666,0.2631578947368421
5,computational problems,A computational problem,2.0,0.961114466190338,0.5,0.8680009841918945,0.8478491902351379,0.8684110045433044,0.0,0.4,0.6465517241379309
6,the problem,a problem,2.0,0.9184228777885436,1.0,0.9312310218811036,0.8364427089691162,0.9361361861228944,0.0,0.5,0.25
7,concrete,abstract,0.0,0.0096058584749698,0.0,0.4395960867404938,0.451262891292572,0.5078219175338745,0.0,0.0,0.0
8,instances,the instance,2.0,0.7130443453788757,0.0,0.7770498991012573,0.6574906706809998,0.7895278930664062,0.0,0.0,0.2631578947368421
9,solution,the solution,2.0,0.9432179927825928,1.0,0.9335057139396667,0.8526704907417297,0.956244170665741,0.0,0.6666666666666666,0.2631578947368421
10,decision problems,as decision problems,2.0,0.9523800015449524,0.8,0.8963701725006104,0.8662862777709961,0.9039085507392884,0.0,0.8,0.6465517241379309
11,set of triples,triple,1.0,0.90797221660614,0.0,0.8107149004936218,0.6161430478096008,0.8397619128227234,0.0,0.0,0.4166666666666667
12,the instance,the size of the instance,1.0,0.5301474928855896,0.5,0.7024173736572266,0.7956526875495911,0.6792871356010437,0.0,0.5714285714285715,0.3989361702127659
13,mathematical models,branching,0.0,0.009110502898693,0.0,0.048199500888586,0.3598237037658691,0.0399470776319503,0.0,0.0,0.0
14,Complexity measures,complexity measures,2.0,0.9675989747047424,1.0,0.8666218519210815,1.0,0.8646228313446045,0.0,1.0,0.9375
15,Complexity measures,complexity measures,2.0,0.9675989747047424,1.0,0.8666218519210815,1.0,0.8646228313446045,0.0,1.0,0.9375
16,lower bounds,lower,1.0,0.8682719469070435,0.6666666666666666,0.7282462120056152,0.7264958024024963,0.7123061418533325,0.0,0.6666666666666666,0.4545454545454545
17,upper bound,upper and lower bounds,1.0,0.6265222430229187,0.3333333333333333,0.6372426748275757,0.6880158185958862,0.6247723698616028,0.0,0.3333333333333333,0.2631578947368421
18,the bound on the complexity of reductions,types of reductions,1.0,0.5088039636611938,0.5,0.6993225812911987,0.608423113822937,0.6953393220901489,0.0,0.4,0.5514705882352942
19,if every problem in C can be reduced to X,problem in C is harder than X,0.0,0.4859102070331574,0.4705882352941176,0.7452842593193054,0.6614111065864563,0.7405028939247131,0.0,0.4705882352941176,0.5136986301369862
20,NP,P,1.0,0.166456714272499,0.0,0.5963450074195862,0.3878518342971802,0.6375851631164551,0.0,0.0,0.0
21,graph isomorphism problem,the discrete logarithm problem,0.0,0.100167341530323,0.3333333333333333,0.3588646948337555,0.4529604315757752,0.3528301715850829,0.0,0.2857142857142857,0.1282051282051282
22,modern cryptographic systems,RSA algorithm,1.0,0.0471636541187763,0.0,0.3799830675125122,0.3073315620422363,0.3657781183719635,0.0,0.0,0.0
23,the general number field sieve,RSA,0.0,0.0096493875607848,0.0,0.1167503073811531,0.289973646402359,0.0831216648221015,0.0,0.0,0.0
24,Los Angeles,Riverside,0.0,0.0774319097399711,0.0,0.2048388123512268,0.2787351310253143,0.2442780584096909,0.0,0.0,0.0
25,United States,Los Angeles,1.0,0.0164951048791408,0.0,0.3080690801143646,0.3528873324394226,0.3406802713871002,0.0,0.0,0.0
26,counties,five most populous in the state,0.0,0.1538477987051009,0.0,0.2681763172149658,0.3282521069049835,0.2459080219268799,0.0,0.0,0.0
