,answer1,answer2,label,sas,f1,berttrained,bertvanilla,bi_encoder
0,Seine,Epte,0.0,0.0098584862425923,0.0,0.3779272437095642,0.2485637813806533,0.4230275750160217
1,Norman mercenary,an Italo-Norman named Raoul,1.0,0.3497010469436645,0.0,0.42596980929374695,0.4607194364070892,0.4396501183509826
2,1018,1064,0.0,0.1926071345806121,0.0,0.43001675605773926,0.7156524658203125,0.4717662334442138
3,Isaac Komnenos,Isaac,1.0,0.7472150921821594,0.6666666666666666,0.6090628504753113,0.5054860115051271,0.5643110275268555
4,dukes,the dukes,2.0,0.8984519839286804,1.0,0.9590107202529907,0.8442234396934509,0.9666312336921692
5,computational problems,A computational problem,2.0,0.961114466190338,0.5,0.8680009841918945,0.8478491902351379,0.8684110045433044
6,the problem,a problem,2.0,0.9184228777885436,1.0,0.9312310218811035,0.8364427089691162,0.9361361861228944
7,concrete,abstract,0.0,0.0096058584749698,0.0,0.4395960867404938,0.451262891292572,0.5078219175338745
8,instances,the instance,2.0,0.7130443453788757,0.0,0.7770498991012573,0.6574906706809998,0.7895278930664062
9,solution,the solution,2.0,0.9432179927825928,1.0,0.9335057139396667,0.8526704907417297,0.956244170665741
10,decision problems,as decision problems,2.0,0.9523800015449524,0.8,0.8963701725006104,0.8662862777709961,0.9039085507392884
11,set of triples,triple,1.0,0.90797221660614,0.0,0.8107149004936218,0.6161430478096008,0.8397619128227234
12,the instance,the size of the instance,1.0,0.5301474928855896,0.5,0.7024173736572266,0.7956526875495911,0.6792871356010437
13,mathematical models,branching,0.0,0.009110502898693,0.0,0.048199500888586044,0.3598237037658691,0.0399470776319503
14,Complexity measures,complexity measures,2.0,0.9675989747047424,1.0,0.8666218519210815,1.0,0.8646228313446045
15,Complexity measures,complexity measures,2.0,0.9675989747047424,1.0,0.8666218519210815,1.0,0.8646228313446045
16,lower bounds,lower,1.0,0.8682719469070435,0.6666666666666666,0.7282462120056152,0.7264958024024963,0.7123061418533325
17,upper bound,upper and lower bounds,1.0,0.6265222430229187,0.3333333333333333,0.6372426748275757,0.6880158185958862,0.6247723698616028
18,the bound on the complexity of reductions,types of reductions,1.0,0.5088039636611938,0.5,0.6993225812911987,0.608423113822937,0.6953393220901489
19,if every problem in C can be reduced to X,problem in C is harder than X,0.0,0.4859102070331574,0.4705882352941176,0.7452842593193054,0.6614111065864563,0.7405028939247131
20,NP,P,1.0,0.166456714272499,0.0,0.5963450074195862,0.3878518342971802,0.6375851631164551
21,graph isomorphism problem,the discrete logarithm problem,0.0,0.100167341530323,0.3333333333333333,0.3588646948337555,0.4529604315757752,0.3528301715850829
22,modern cryptographic systems,RSA algorithm,1.0,0.0471636541187763,0.0,0.3799830675125122,0.3073315620422363,0.3657781183719635
23,the general number field sieve,RSA,0.0,0.0096493875607848,0.0,0.1167503073811531,0.289973646402359,0.0831216648221015
24,Los Angeles,Riverside,0.0,0.0774319097399711,0.0,0.2048388123512268,0.2787351310253143,0.2442780584096909
25,United States,Los Angeles,1.0,0.0164951048791408,0.0,0.3080690801143646,0.3528873324394226,0.3406802713871002
26,counties,five most populous in the state,0.0,0.1538477987051009,0.0,0.2681763172149658,0.3282521069049835,0.2459080219268799
27,15,Riverside,0.0,0.0098861353471875,0.0,0.2634989619255066,0.383090615272522,0.3028425872325897
28,counties,Riverside,0.0,0.0108215408399701,0.0,0.263821542263031,0.3029015958309173,0.3063364624977112
29,music,major record companies,0.0,0.1647692918777465,0.0,0.21553845703601837,0.3127571940422058,0.2303117811679839
30,southern,the desert,0.0,0.0094904545694589,0.0,0.35642221570014954,0.4359545111656189,0.4103421568870544
31,northern,the Tehachapi Mountains,0.0,0.0103929378092288,0.0,0.12764157354831696,0.3051382899284363,0.1128000766038894
32,the Missouri Compromise,the Compromise of 1850,1.0,0.313001424074173,0.4,0.47848862409591675,0.6804402470588684,0.397628515958786
33,Imperial,1999,0.0,0.0101090455427765,0.0,0.23431554436683655,0.3290035426616669,0.2663083076477051
34,regional tourism groups,AAA Auto Clubs,0.0,0.0114841600880026,0.0,0.18298833072185516,0.2856516540050506,0.1900401413440704
35,Inland Empire,Temecula and Murrieta,0.0,0.0107418792322278,0.0,0.13514435291290283,0.2396584898233413,0.1178304105997085
36,varied,natural ecosystem,0.0,0.0105456607416272,0.0,0.12006277590990067,0.3320408761501312,0.1378834843635559
37,1.3 million,San Diego,0.0,0.0094673801213502,0.0,0.04885897412896156,0.1990997642278671,0.0427983924746513
38,Los Angeles Area,major business,0.0,0.0146323470398783,0.0,0.19061829149723053,0.2523134350776672,0.2257143259048462
39,Riverside,Downtown Riverside,1.0,0.7238016724586487,0.6666666666666666,0.7175757884979248,0.7071284055709839,0.7199459075927734
40,Hospitality Business/Financial Centre,Downtown Riverside,0.0,0.009409531019628,0.0,0.12844209372997284,0.2846453189849853,0.1103256046772003
41,Port of San Diego,Port of Long Beach,0.0,0.1242898181080818,0.5,0.5204946994781494,0.6262922286987305,0.5136827230453491
42,NFL,Professional,0.0,0.0103581519797444,0.0,0.32124680280685425,0.3911600708961487,0.3648402988910675
43,Chivas USA,Chivas,2.0,0.8015461564064026,0.6666666666666666,0.8119024634361267,0.8426108956336975,0.7864738702774048
44,Sky plc,British Sky Broadcasting Group plc,2.0,0.8338932394981384,0.5714285714285715,0.7416216731071472,0.6667131781578064,0.7473927140235901
45,£1.3bn,£4.2bn,0.0,0.2725315093994141,0.0,0.43924322724342346,0.8366643786430359,0.401099145412445
46,Freeview,ITV Digital,0.0,0.2461662143468857,0.0,0.22964324057102203,0.2284156829118729,0.2700713574886322
47,September 2007,March 2008,0.0,0.1324147880077362,0.0,0.3269927203655243,0.7662550210952759,0.3321145474910736
48,monthly fee,SkyHD box,0.0,0.0091748740524053,0.0,0.051589235663414,0.2396773099899292,0.0619867891073226
49,January 2010,February 2011,0.0,0.0977654382586479,0.0,0.6655352115631104,0.8139806389808655,0.7142060995101929
50,Sky+,PVR,0.0,0.0093427868559956,0.0,0.20482690632343292,0.2677325904369354,0.2143553048372268
51,BSkyB,British Sky Broadcasting,2.0,0.6502225399017334,0.0,0.6268445253372192,0.234525129199028,0.6533950567245483
52,DVB-S2,DVB-compliant MPEG-2,0.0,0.6268500089645386,0.0,0.7966340780258179,0.7100546360015869,0.8225463628768921
53,Thomson,STB,0.0,0.0102662518620491,0.0,0.2633627951145172,0.272227793931961,0.3097308278083801
54,free-to-view,free-to-air,1.0,0.8764256238937378,0.0,0.6558387875556946,0.8364425897598267,0.6389004588127136
55,Ku band,9.75/10.600 GHz,0.0,0.0660848319530487,0.0,0.1687788963317871,0.2290479838848114,0.1079657897353172
56,no,Third-party channels,0.0,0.0251762457191944,0.0,0.1479901671409607,0.2864935994148254,0.1354603469371795
57,Sky Active,Open,0.0,0.0097384862601757,0.0,0.20248949527740479,0.339250236749649,0.2306451797485352
58,Video On Demand,(HDTV),0.0,0.2194282859563827,0.0,0.46539750695228577,0.3193037807941437,0.4858234822750092
59,25m,36% of households,0.0,0.017131159082055,0.0,0.1470208466053009,0.3762849867343903,0.1241400018334388
60,36%,2.4m customers,0.0,0.0176640879362821,0.0,0.1711888611316681,0.3535974621772766,0.1740355193614959
61,Sky TV bills,claimants,0.0,0.0093505131080746,0.0,0.14420010149478912,0.2891894876956939,0.1203600466251373
62,a man's presence,mother is wrongly claiming to be living alone,0.0,0.0094489473849535,0.0,0.10602539777755737,0.3282394707202911,0.0803959146142005
63,Liberal Party,Liberals,1.0,0.8132712841033936,0.0,0.67989182472229,0.5763348937034607,0.7203707695007324
64,National Party,Nationals,1.0,0.6359160542488098,0.0,0.6718937158584595,0.3344314992427826,0.6975024938583374
65,The Greens,Australian Greens,1.0,0.5844908356666565,0.6666666666666666,0.8396406769752502,0.68647301197052,0.8354678750038147
66,Labor,Australian Labor Party,1.0,0.501820981502533,0.5,0.661987841129303,0.5235695242881775,0.6721486449241638
